combo,size,n_old,n_new,models,dataset,split_mode,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
combo_size4_o2n2_Oover_Ohybrid_Nunder_Nhybrid,4,2,2,"old_over,old_hybrid,new_under,new_hybrid",bankruptcy,block_cv,0.7094812822826336,0.2503037667071689,0.582746443238611,0.38758231420507994,0.1848362494392104,0.1238160136286201,0.6124176857949201
combo_size4_o2n2_Oover_Ohybrid_Nover_Nhybrid,4,2,2,"old_over,old_hybrid,new_over,new_hybrid",bankruptcy,block_cv,0.6928705842004804,0.22640345465761874,0.5501086573484225,0.34524929444967073,0.16842588343276732,0.12347529812606474,0.6547507055503292
combo_size4_o1n3_Oover_Nunder_Nover_Nhybrid,4,1,3,"old_over,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.6784888001397478,0.21257861635220127,0.528603671355175,0.3179680150517404,0.15965989607935757,0.12122657580919932,0.6820319849482597
combo_size4_o1n3_Ohybrid_Nunder_Nover_Nhybrid,4,1,3,"old_hybrid,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.6903438405977106,0.2263349514563107,0.5535515025462757,0.3508936970837253,0.1670398566950291,0.12674616695059626,0.6491063029162747
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nunder_Nover,5,3,2,"old_under,old_over,old_hybrid,new_under,new_over",bankruptcy,block_cv,0.7209823376032284,0.25791044776119404,0.5958407460956758,0.4063969896519285,0.1888937472671622,0.12640545144804088,0.5936030103480715
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nunder_Nhybrid,5,3,2,"old_under,old_over,old_hybrid,new_under,new_hybrid",bankruptcy,block_cv,0.7253251621443602,0.26383981154299174,0.6060641453965792,0.42144873000940736,0.19202743249035575,0.1284497444633731,0.5785512699905927
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nover_Nhybrid,5,3,2,"old_under,old_over,old_hybrid,new_over,new_hybrid",bankruptcy,block_cv,0.713636472905425,0.24902490249024903,0.5839993634330277,0.39040451552210725,0.1828193832599119,0.12640545144804088,0.6095954844778928
combo_size5_o2n3_Ounder_Oover_Nunder_Nover_Nhybrid,5,2,3,"old_under,old_over,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.7076827659816564,0.24443748041366342,0.5687133268848787,0.36688617121354655,0.18327067669172933,0.11843270868824532,0.6331138287864534
combo_size5_o2n3_Ounder_Ohybrid_Nunder_Nover_Nhybrid,5,2,3,"old_under,old_hybrid,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.7146079127409328,0.25083713850837136,0.5829050476118764,0.38758231420507994,0.1854185418541854,0.12333901192504258,0.6124176857949201
combo_size5_o2n3_Oover_Ohybrid_Nunder_Nover_Nhybrid,5,2,3,"old_over,old_hybrid,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.6971305857069365,0.23430178069353327,0.5571302060434337,0.3527751646284102,0.1753975678203929,0.12013628620102215,0.6472248353715898
combo_size6_o3n3_Ounder_Oover_Ohybrid_Nunder_Nover_Nhybrid,6,3,3,"old_under,old_over,old_hybrid,new_under,new_over,new_hybrid",bankruptcy,block_cv,0.7149531155596084,0.2522355843354918,0.5816585870345546,0.3847601128880527,0.18761467889908257,0.12068143100511074,0.6152398871119473
combo_size2_o1n1_Ounder_Nunder,2,1,1,"old_under,new_under",stock_spx,chronological,0.559643889538102,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ounder_Nover,2,1,1,"old_under,new_over",stock_spx,chronological,0.5597745863829264,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ounder_Nhybrid,2,1,1,"old_under,new_hybrid",stock_spx,chronological,0.5603281259610062,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Oover_Nunder,2,1,1,"old_over,new_under",stock_spx,chronological,0.5352650839535027,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Oover_Nover,2,1,1,"old_over,new_over",stock_spx,chronological,0.5353957807983271,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Oover_Nhybrid,2,1,1,"old_over,new_hybrid",stock_spx,chronological,0.5360877052709268,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ohybrid_Nunder,2,1,1,"old_hybrid,new_under",stock_spx,chronological,0.5426148594624516,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ohybrid_Nover,2,1,1,"old_hybrid,new_over",stock_spx,chronological,0.5420228796358939,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ohybrid_Nhybrid,2,1,1,"old_hybrid,new_hybrid",stock_spx,chronological,0.5434989851774402,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Ounder_Oover_Nunder,3,2,1,"old_under,old_over,new_under",stock_spx,chronological,0.5564687250138385,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Ounder_Oover_Nover,3,2,1,"old_under,old_over,new_over",stock_spx,chronological,0.5565763577095763,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Ounder_Oover_Nhybrid,3,2,1,"old_under,old_over,new_hybrid",stock_spx,chronological,0.5567916231010517,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Ounder_Ohybrid_Nunder,3,2,1,"old_under,old_hybrid,new_under",stock_spx,chronological,0.5638261885724829,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Ounder_Ohybrid_Nover,3,2,1,"old_under,old_hybrid,new_over",stock_spx,chronological,0.563826188572483,0.0,0.0,0.0,0.0,0.0,1.0
