family,metric,split,value,ensemble,sampling,dataset
DES,F1,split_15+1,0.255800,Dynamic_DES_KNN,under,O15 + N1
Static,F1,split_15+1,0.245500,3models,k_subset,O15 + N1
DCS,F1,split_2+14,0.126300,DCS_OLA,pool6_xgb,2+14
DES,F1,split_2+14,0.191700,Dynamic_DES_KNN,under,O2 + N14
Static,F1,split_2+14,0.244300,New,under,O2 + N14
DCS,F1,split_3+13,0.134800,DCS_LCA,pool6_xgb,3+13
DES,F1,split_3+13,0.206600,Dynamic_KNORA_U,under,O3 + N13
Static,F1,split_3+13,0.259900,3models,k_subset,O3 + N13
DCS,F1,split_4+12,0.130900,DCS_OLA,pool6_xgb,4+12
DES,F1,split_4+12,0.217900,Dynamic_KNORA_U,under,O4 + N12
Static,F1,split_4+12,0.257300,3models,k_subset,O4 + N12
DCS,F1,split_5+11,0.156500,DCS_OLA,pool6_xgb,5+11
DES,F1,split_5+11,0.235700,Dynamic_DES_KNN,under,O5 + N11
Static,F1,split_5+11,0.281500,3models,k_subset,O5 + N11
DCS,F1,split_6+10,0.156700,DCS_LCA,pool6_xgb,6+10
DES,F1,split_6+10,0.235600,Dynamic_KNORA_U,under,O6 + N10
Static,F1,split_6+10,0.250200,New,under,O6 + N10
DCS,F1,split_7+9,0.169900,DCS_OLA,pool6_xgb,7+9
DES,F1,split_7+9,0.210400,Dynamic_DES_KNN,under,O7 + N9
Static,F1,split_7+9,0.250600,New,under,O7 + N9
DCS,F1,split_8+8,0.180700,DCS_LCA_TW,pool6_xgb,8+8
DES,F1,split_8+8,0.219700,Dynamic_DES_KNN,under,O8 + N8
Static,F1,split_8+8,0.258700,New,under,O8 + N8
DCS,F1,split_9+7,0.201100,DCS_LCA,pool6_xgb,9+7
DES,F1,split_9+7,0.240000,Dynamic_KNORA_U,under,O9 + N7
Static,F1,split_9+7,0.253200,New,under,O9 + N7
