split,old_end_year,new_start_year,train_scope,fs_method,fs_ratio,n_features_before,n_features_after,selected_features
split_7+9,2005,2006,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_8+8,2006,2007,old,mutual_info,0.5,19,9,MajorGroup;X4;X11;X13;X8;X18;X15;X14;X17
split_8+8,2006,2007,old,mutual_info,0.8,19,15,MajorGroup;X4;X11;X13;X8;X18;X15;X14;X17;X7;X3;X16;X6;X1;X12
split_8+8,2006,2007,old,shap,0.5,19,9,MajorGroup;X12;X11;X4;X1;X15;X5;X16;X13
split_8+8,2006,2007,old,shap,0.8,19,15,MajorGroup;X12;X11;X4;X1;X15;X5;X16;X13;X9;X10;X14;X8;X18;X2
split_8+8,2006,2007,old,rfe,0.5,19,9,X1;X3;X5;X9;X11;X12;X15;X16;MajorGroup
split_8+8,2006,2007,old,rfe,0.8,19,15,X1;X3;X4;X5;X6;X7;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_8+8,2006,2007,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X2;X6;X16;X15
split_8+8,2006,2007,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X2;X6;X16;X15;X3;X8;X5;X1;X10;X18
split_8+8,2006,2007,new,shap,0.5,19,9,MajorGroup;X11;X15;X12;X10;X1;X13;X3;X16
split_8+8,2006,2007,new,shap,0.8,19,15,MajorGroup;X11;X15;X12;X10;X1;X13;X3;X16;X9;X2;X5;X4;X6;X8
split_8+8,2006,2007,new,rfe,0.5,19,9,X1;X2;X3;X5;X11;X12;X15;X16;MajorGroup
split_8+8,2006,2007,new,rfe,0.8,19,15,X1;X2;X3;X4;X5;X6;X7;X10;X11;X12;X13;X14;X15;X16;MajorGroup
split_8+8,2006,2007,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X7;X16
split_8+8,2006,2007,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X7;X16;X2;X18;X17;X14;X10;X5
split_8+8,2006,2007,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_8+8,2006,2007,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_8+8,2006,2007,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_8+8,2006,2007,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_9+7,2007,2008,old,mutual_info,0.5,19,9,MajorGroup;X4;X11;X8;X14;X16;X18;X6;X17
split_9+7,2007,2008,old,mutual_info,0.8,19,15,MajorGroup;X4;X11;X8;X14;X16;X18;X6;X17;X15;X13;X12;X3;X7;X2
split_9+7,2007,2008,old,shap,0.5,19,9,MajorGroup;X12;X11;X4;X1;X15;X10;X5;X13
split_9+7,2007,2008,old,shap,0.8,19,15,MajorGroup;X12;X11;X4;X1;X15;X10;X5;X13;X16;X8;X9;X14;X3;X2
split_9+7,2007,2008,old,rfe,0.5,19,9,X1;X3;X8;X11;X12;X13;X15;X16;MajorGroup
split_9+7,2007,2008,old,rfe,0.8,19,15,X1;X2;X3;X4;X6;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_9+7,2007,2008,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X7;X6;X4;X2;X16;X18
split_9+7,2007,2008,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X7;X6;X4;X2;X16;X18;X3;X15;X5;X10;X8;X1
split_9+7,2007,2008,new,shap,0.5,19,9,MajorGroup;X11;X15;X12;X10;X1;X16;X9;X13
split_9+7,2007,2008,new,shap,0.8,19,15,MajorGroup;X11;X15;X12;X10;X1;X16;X9;X13;X3;X5;X6;X7;X8;X4
split_9+7,2007,2008,new,rfe,0.5,19,9,X2;X3;X5;X7;X10;X11;X12;X15;MajorGroup
split_9+7,2007,2008,new,rfe,0.8,19,15,X1;X2;X3;X4;X5;X7;X8;X10;X11;X12;X13;X14;X15;X16;MajorGroup
split_9+7,2007,2008,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X18;X16
split_9+7,2007,2008,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X18;X16;X2;X7;X10;X14;X17;X5
split_9+7,2007,2008,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_9+7,2007,2008,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_9+7,2007,2008,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_9+7,2007,2008,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_10+6,2008,2009,old,mutual_info,0.5,19,9,MajorGroup;X11;X4;X6;X12;X18;X8;X16;X13
split_10+6,2008,2009,old,mutual_info,0.8,19,15,MajorGroup;X11;X4;X6;X12;X18;X8;X16;X13;X17;X7;X15;X14;X10;X3
split_10+6,2008,2009,old,shap,0.5,19,9,MajorGroup;X11;X12;X4;X1;X15;X16;X10;X8
split_10+6,2008,2009,old,shap,0.8,19,15,MajorGroup;X11;X12;X4;X1;X15;X16;X10;X8;X13;X9;X5;X18;X3;X14
split_10+6,2008,2009,old,rfe,0.5,19,9,X3;X5;X8;X11;X12;X13;X15;X16;MajorGroup
split_10+6,2008,2009,old,rfe,0.8,19,15,X1;X2;X3;X4;X5;X8;X9;X10;X11;X12;X13;X14;X15;X16;MajorGroup
split_10+6,2008,2009,new,mutual_info,0.5,19,9,MajorGroup;X12;X11;X7;X6;X4;X16;X15;X5
split_10+6,2008,2009,new,mutual_info,0.8,19,15,MajorGroup;X12;X11;X7;X6;X4;X16;X15;X5;X2;X10;X18;X3;X8;X1
split_10+6,2008,2009,new,shap,0.5,19,9,X15;MajorGroup;X11;X12;X10;X13;X1;X16;X6
split_10+6,2008,2009,new,shap,0.8,19,15,X15;MajorGroup;X11;X12;X10;X13;X1;X16;X6;X5;X3;X7;X8;X14;X9
split_10+6,2008,2009,new,rfe,0.5,19,9,X1;X3;X5;X11;X12;X13;X15;X16;MajorGroup
split_10+6,2008,2009,new,rfe,0.8,19,15,X1;X3;X5;X6;X7;X9;X10;X11;X12;X13;X15;X16;X17;X18;MajorGroup
split_10+6,2008,2009,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X8;X15;X16;X18
split_10+6,2008,2009,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X8;X15;X16;X18;X7;X2;X17;X14;X10;X5
split_10+6,2008,2009,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_10+6,2008,2009,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_10+6,2008,2009,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_10+6,2008,2009,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_11+5,2009,2010,old,mutual_info,0.5,19,9,MajorGroup;X4;X11;X6;X16;X15;X8;X12;X18
split_11+5,2009,2010,old,mutual_info,0.8,19,15,MajorGroup;X4;X11;X6;X16;X15;X8;X12;X18;X3;X17;X7;X10;X14;X13
split_11+5,2009,2010,old,shap,0.5,19,9,MajorGroup;X12;X11;X15;X4;X1;X10;X16;X9
split_11+5,2009,2010,old,shap,0.8,19,15,MajorGroup;X12;X11;X15;X4;X1;X10;X16;X9;X5;X18;X13;X14;X8;X3
split_11+5,2009,2010,old,rfe,0.5,19,9,X1;X3;X4;X11;X12;X13;X15;X16;MajorGroup
split_11+5,2009,2010,old,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_11+5,2009,2010,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X7;X6;X4;X15;X18;X3
split_11+5,2009,2010,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X7;X6;X4;X15;X18;X3;X5;X16;X2;X10;X8;X17
split_11+5,2009,2010,new,shap,0.5,19,9,X11;MajorGroup;X15;X10;X12;X16;X13;X1;X3
split_11+5,2009,2010,new,shap,0.8,19,15,X11;MajorGroup;X15;X10;X12;X16;X13;X1;X3;X6;X5;X9;X14;X8;X2
split_11+5,2009,2010,new,rfe,0.5,19,9,X5;X6;X10;X11;X12;X13;X15;X16;MajorGroup
split_11+5,2009,2010,new,rfe,0.8,19,15,X1;X2;X4;X5;X6;X7;X8;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_11+5,2009,2010,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X6;X12;X4;X15;X8;X16;X7
split_11+5,2009,2010,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X6;X12;X4;X15;X8;X16;X7;X18;X2;X10;X17;X14;X5
split_11+5,2009,2010,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_11+5,2009,2010,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_11+5,2009,2010,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_11+5,2009,2010,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_12+4,2010,2011,old,mutual_info,0.5,19,9,MajorGroup;X4;X11;X15;X12;X6;X8;X14;X18
split_12+4,2010,2011,old,mutual_info,0.8,19,15,MajorGroup;X4;X11;X15;X12;X6;X8;X14;X18;X16;X17;X3;X13;X7;X5
split_12+4,2010,2011,old,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_12+4,2010,2011,old,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X14;X5;X18;X8;X3
split_12+4,2010,2011,old,rfe,0.5,19,9,X3;X4;X8;X10;X11;X12;X13;X15;MajorGroup
split_12+4,2010,2011,old,rfe,0.8,19,15,X1;X2;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;MajorGroup
split_12+4,2010,2011,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X6;X4;X7;X3;X5;X15
split_12+4,2010,2011,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X6;X4;X7;X3;X5;X15;X9;X18;X10;X14;X17;X2
