train_scope,fs_method,fs_ratio,feature,selected_count,n_splits,selected_rate
old_new,rfe,0.800000,X5,15,15,1.000000
old_new,rfe,0.800000,X7,15,15,1.000000
old_new,rfe,0.800000,X8,15,15,1.000000
old_new,rfe,0.800000,X9,15,15,1.000000
old_new,shap,0.500000,MajorGroup,15,15,1.000000
old_new,shap,0.500000,X1,15,15,1.000000
old_new,shap,0.500000,X10,15,15,1.000000
old_new,shap,0.500000,X11,15,15,1.000000
old_new,shap,0.500000,X12,15,15,1.000000
old_new,shap,0.500000,X13,15,15,1.000000
old_new,shap,0.500000,X15,15,15,1.000000
old_new,shap,0.500000,X16,15,15,1.000000
old_new,shap,0.500000,X4,15,15,1.000000
old_new,shap,0.800000,MajorGroup,15,15,1.000000
old_new,shap,0.800000,X1,15,15,1.000000
old_new,shap,0.800000,X10,15,15,1.000000
old_new,shap,0.800000,X11,15,15,1.000000
old_new,shap,0.800000,X12,15,15,1.000000
old_new,shap,0.800000,X13,15,15,1.000000
old_new,shap,0.800000,X14,15,15,1.000000
old_new,shap,0.800000,X15,15,15,1.000000
old_new,shap,0.800000,X16,15,15,1.000000
old_new,shap,0.800000,X18,15,15,1.000000
old_new,shap,0.800000,X3,15,15,1.000000
old_new,shap,0.800000,X4,15,15,1.000000
old_new,shap,0.800000,X5,15,15,1.000000
old_new,shap,0.800000,X8,15,15,1.000000
old_new,shap,0.800000,X9,15,15,1.000000
