dataset,phase,method,split_mode,AUC,F1,Recall,Precision,G_Mean,Type1_Error_FPR,Type2_Error_FNR
stock_spx,P2_best_combo,best_size5_o3n2,chronological,0.5656,0.0,0.0,,0.0,0.0,
stock_spx,P2_best_combo,best_size6_o3n3,chronological,0.5655,0.0,0.0,,0.0,0.0,
stock_spx,P2_best_combo,best_size3_o2n1,chronological,0.5642,0.0,0.0,,0.0,0.0,
stock_spx,P2_best_combo,best_size2_o1n1,chronological,0.5603,0.0,0.0,,0.0,0.0,
stock_spx,P2_best_combo,best_size5_o2n3,block_cv,0.5308,0.0,0.0,,0.0,0.0031,
stock_spx,P2_best_combo,best_size6_o3n3,block_cv,0.5125,0.0,0.0,,0.0,0.0062,
stock_spx,P2_ensemble,ensemble_new_3,chronological,0.6043,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P2_ensemble,ensemble_3_type_b,chronological,0.5823,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P2_ensemble,ensemble_2_old_hybrid_new_hybrid,chronological,0.5768,0.1656,0.1831,0.1512,0.4115,0.0753,0.8169
stock_spx,P2_ensemble,ensemble_old_3,chronological,0.516,0.1261,0.6197,0.0702,0.4972,0.601,0.3803
stock_spx,P2_ensemble,ensemble_all_6,chronological,0.5125,0.0,0.0,0.0,0.0,0.0062,1.0
stock_spx,P2_ensemble,ensemble_3_type_a,chronological,0.5106,0.1309,0.507,0.0752,0.5249,0.4567,0.493
stock_spx,P4_feature_selection,fs_no_fs,block_cv,0.6043,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P4_feature_selection,fs_kbest_chi2_r80,block_cv,0.5925,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P4_feature_selection,fs_kbest_f_r80,block_cv,0.5781,0.0,0.0,0.0,0.0,0.0196,1.0
stock_spx,P4_feature_selection,fs_kbest_chi2_r50,block_cv,0.5767,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P4_feature_selection,fs_kbest_chi2_r20,block_cv,0.5665,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P4_feature_selection,fs_kbest_f_r20,block_cv,0.5583,0.0786,0.1268,0.057,0.3276,0.1536,0.8732
stock_spx,P4_feature_selection,fs_kbest_f_r50,block_cv,0.5259,0.0,0.0,0.0,0.0,0.0,1.0
