dataset,method,AUC,F1,Precision,Recall,Type1_Error(FPR),Type2_Error(FNR)
medical,ensemble_new_3,0.6664676328667649,0.1870503597122302,0.363031914893617,0.1259806183664051,0.0263374938142629,0.8740193816335948
medical,ensemble_all_6,0.6659935674677894,0.1740947075208913,0.3546099290780142,0.1153668666359021,0.0250178699070764,0.8846331333640979
medical,retrain_none,0.6651286109347161,0.2529209621993127,0.1606385632327263,0.594370096908168,0.3700445373068675,0.405629903091832
medical,finetune_hybrid,0.6649442091744969,0.1837985023825731,0.3501945525291828,0.1245962159667743,0.0275471490625171,0.8754037840332256
medical,retrain_undersampling,0.6646829384589859,0.2555263414159119,0.1619353246112071,0.6054453161052146,0.3733435970748336,0.3945546838947854
medical,ensemble_3_type_b,0.6631002169457848,0.1477832512315271,0.413135593220339,0.0899861559760036,0.0152306592621103,0.9100138440239964
medical,retrain_hybrid,0.6621041810190695,0.1715495940698905,0.3648648648648648,0.1121365943700969,0.0232583713641612,0.8878634056299031
medical,retrain_oversampling,0.6611207557115258,0.018034265103697,0.392156862745098,0.0092293493308721,0.0017045142134491,0.9907706506691278
medical,ensemble_3_type_a,0.6609991786858511,0.1769730099077553,0.3407894736842105,0.1195200738347946,0.0275471490625171,0.8804799261652053
medical,finetune_undersampling,0.6609350218436476,0.2543487484089944,0.1651287701418537,0.5532994923857868,0.3333150052235113,0.4467005076142132
medical,ensemble_2_old_hybrid_new_hybrid,0.6608095246154339,0.1680613668061366,0.3437945791726106,0.1112136594370096,0.0252927915544069,0.8887863405629903
medical,finetune_none,0.6605799580622062,0.2585428755641522,0.1685109959378064,0.5551453622519612,0.3263869797107824,0.4448546377480387
medical,finetune_oversampling,0.6590798779708189,0.0319290465631929,0.4090909090909091,0.0166128287955699,0.0028591851322373,0.98338717120443
medical,ensemble_old_3,0.6509328343960041,0.1857605177993527,0.3109425785482123,0.1324411628980157,0.0349700335404409,0.8675588371019843
medical,DES_KNORAE,0.6374301471288805,0.1640597844977407,0.3323943661971831,0.1089063221042916,0.0260625721669324,0.8910936778957084
stock,finetune_hybrid,0.5910994751086324,0.0,0.0,0.0,0.0,1.0
stock,ensemble_new_3,0.5821311781404392,0.0,0.0,0.0,0.0,1.0
stock,finetune_none,0.5817725580868798,0.053440213760855,0.033003300330033,0.1403508771929824,0.1296339080083985,0.8596491228070176
stock,finetune_oversampling,0.5777998456353566,0.0,0.0,0.0,0.0,1.0
stock,ensemble_2_old_hybrid_new_hybrid,0.5711004361201083,0.1257393329224025,0.0905836753305973,0.3487521620953793,0.2357976795042247,0.6512478379046207
stock,finetune_undersampling,0.5692996013651608,0.0497925311203319,0.0310077519379844,0.1263157894736842,0.1295205713330863,0.8736842105263158
stock,ensemble_3_type_b,0.5681256972311778,0.0,0.0,0.0,0.0,1.0
stock,retrain_none,0.5588488634860246,0.0462222222222222,0.0309523809523809,0.0912280701754386,0.0894996476391825,0.9087719298245616
stock,DES_KNORAE,0.5564434147360232,0.0,0.0,0.0,0.0024665257223396,1.0
stock,retrain_hybrid,0.5434153751436583,0.0,0.0,0.0,0.0049330514446793,1.0
stock,ensemble_old_3,0.5368373027271153,0.1470252558139478,0.0822243097383397,0.7245907879710697,0.6853488132425009,0.2754092120289304
stock,ensemble_3_type_a,0.5363541988275142,0.148213828425096,0.0863138906571064,0.6194645349574927,0.5734677341975928,0.3805354650425073
stock,ensemble_all_6,0.5339926449722837,0.061061061061061,0.0356100408639813,0.2140350877192982,0.1817658725834223,0.7859649122807019
stock,retrain_oversampling,0.5330579634937617,0.0458333333333333,0.0564102564102564,0.0385964912280701,0.0190274841437632,0.9614035087719298
stock,retrain_undersampling,0.5222856746251853,0.0514961725817675,0.0321180555555555,0.1298245614035087,0.1222692036645525,0.8701754385964913
