dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O4 + N12,split_4+12,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7595,0.0967,0.3415
O4 + N12,split_4+12,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7166,0.1006,0.4739
O4 + N12,split_4+12,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7616,0.1144,0.5331
O4 + N12,split_4+12,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8136,0.1679,0.4564
O4 + N12,split_4+12,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8357,0.1946,0.4774
O4 + N12,split_4+12,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8022,0.1578,0.5505
O4 + N12,split_4+12,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8160,0.1660,0.4495
O4 + N12,split_4+12,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8371,0.1866,0.5401
O4 + N12,split_4+12,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8056,0.1455,0.5714
O4 + N12,split_4+12,3models,k_subsets_mean,,,0.7861,0.1417,0.4683
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7392,0.0918,0.2997
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7010,0.0825,0.3415
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7445,0.0920,0.3240
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.7953,0.1406,0.4599
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8186,0.1656,0.5331
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.7893,0.1415,0.4634
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.7965,0.1429,0.4390
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8190,0.1623,0.4948
O4 + N12,split_4+12,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.7912,0.1363,0.5436
O4 + N12,split_4+12,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8450,0.1810,0.5645
O4 + N12,split_4+12,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.7878,0.1339,0.4599
O4 + N12,split_4+12,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8097,0.1519,0.5331
O4 + N12,split_4+12,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7811,0.1292,0.4495
O4 + N12,split_4+12,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8349,0.1838,0.5226
O4 + N12,split_4+12,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8367,0.1784,0.5192
O4 + N12,split_4+12,4models,k_subsets_mean,,,0.7926,0.1409,0.4632
O4 + N12,split_4+12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7723,0.1221,0.4216
O4 + N12,split_4+12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.7947,0.1383,0.5540
O4 + N12,split_4+12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7694,0.1163,0.4355
O4 + N12,split_4+12,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8231,0.1580,0.5296
O4 + N12,split_4+12,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8242,0.1792,0.4634
O4 + N12,split_4+12,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8159,0.1642,0.4530
O4 + N12,split_4+12,5models,k_subsets_mean,,,0.7999,0.1464,0.4762
O4 + N12,split_4+12,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8049,0.1397,0.5401
O4 + N12,split_4+12,6models,k_subsets_mean,,,0.8049,0.1397,0.5401
O6 + N10,split_6+10,Old,under,,,0.6000,0.0802,0.1533
O6 + N10,split_6+10,New,under,,,0.8338,0.2166,0.4181
O6 + N10,split_6+10,OldNew,under,,,0.8005,0.1827,0.4808
O6 + N10,split_6+10,Old,over,,,0.6048,0.0769,0.2439
O6 + N10,split_6+10,New,over,,,0.7900,0.1553,0.5017
O6 + N10,split_6+10,OldNew,over,,,0.7562,0.1337,0.4948
O6 + N10,split_6+10,Old,hybrid,,,0.6468,0.0761,0.2718
O6 + N10,split_6+10,New,hybrid,,,0.8339,0.2298,0.4321
O6 + N10,split_6+10,OldNew,hybrid,,,0.7987,0.1573,0.5436
O6 + N10,split_6+10,2models,k_subset,Old_under+New_under,"0,3",0.8005,0.1827,0.4808
O6 + N10,split_6+10,2models,k_subset,Old_under+New_over,"0,4",0.7693,0.1501,0.4181
O6 + N10,split_6+10,2models,k_subset,Old_under+New_hybrid,"0,5",0.8126,0.1722,0.4634
O6 + N10,split_6+10,2models,k_subset,Old_over+New_under,"1,3",0.8018,0.1757,0.4007
O6 + N10,split_6+10,2models,k_subset,Old_over+New_over,"1,4",0.7562,0.1337,0.4948
O6 + N10,split_6+10,2models,k_subset,Old_over+New_hybrid,"1,5",0.7984,0.1546,0.5261
O6 + N10,split_6+10,2models,k_subset,Old_hybrid+New_under,"2,3",0.8033,0.1630,0.4843
O6 + N10,split_6+10,2models,k_subset,Old_hybrid+New_over,"2,4",0.7588,0.1299,0.4808
O6 + N10,split_6+10,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7987,0.1573,0.5436
O6 + N10,split_6+10,2models,k_subsets_mean,,,0.7888,0.1577,0.4770
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7740,0.1280,0.4355
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7433,0.1121,0.4878
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7836,0.1160,0.4564
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7767,0.1350,0.2857
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7466,0.1160,0.2962
O6 + N10,split_6+10,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7835,0.1145,0.3240
O6 + N10,split_6+10,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8200,0.1848,0.5714
O6 + N10,split_6+10,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8423,0.2163,0.5505
O6 + N10,split_6+10,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8192,0.1939,0.5017
O6 + N10,split_6+10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7710,0.1197,0.3031
O6 + N10,split_6+10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7352,0.1030,0.5087
O6 + N10,split_6+10,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7708,0.1154,0.4216
O6 + N10,split_6+10,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8146,0.1888,0.4042
O6 + N10,split_6+10,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8379,0.1941,0.5087
O6 + N10,split_6+10,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8080,0.1683,0.5017
O6 + N10,split_6+10,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8143,0.1937,0.4390
O6 + N10,split_6+10,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8363,0.1954,0.5610
O6 + N10,split_6+10,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8084,0.1575,0.5819
O6 + N10,split_6+10,3models,k_subsets_mean,,,0.7937,0.1529,0.4522
O6 + N10,split_6+10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7539,0.1081,0.3868
