test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2012,2013,2011,2012,B_data_equal,3513,25,3485,26,0.00746054519369,0.31,0.00658223824576,0.888681192661,0.238641427369,0.275862068966,0.4,0.16,1,0.58,0.274437680105,0,0.84,0.44,0.0709677419355,0.0412844036697,155,0.919240776569,0.203991961124,0.0645161290323,0.196002707636,0.0384615384615,0.2,0.518652567438,0.0622593365808,0.00115640358485,0.961538461538,0.576923076923,0.0824175824176,0.0482798496675,182,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2012,2013,2011,2012,B_model_FIFO3_equal,3513,25,3485,26,0.00746054519369,0.18,0.010195877403,0.870951834862,0.26201538024,0.322580645161,0.447149483451,0.2,0.833333333333,0.599856651376,0.320709372669,0.000286697247706,0.8,0.44,0.102803738318,0.0275229357798,107,0.926790757667,0.191929738837,0.1875,0.339535774253,0.115384615385,0.5,0.557258656348,0.185220487735,0.000867302688638,0.884615384615,0.5,0.0977443609023,0.0346921075455,133,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2013,2014,2012,2013,Recent1y,3485,26,3484,28,0.00803673938002,0.24,0.00841955188662,0.887061622968,0.200602985492,0.294117647059,0.438338799708,0.192307692308,0.625,0.59572019481,0.29163067229,0.000867302688638,0.807692307692,0.538461538462,0.109375,0.0329575021683,128,0.788235780423,0.0430763636747,0,0,0,0,0.499565972222,-0.00155792128788,0.000868055555556,1,0.178571428571,0.0561797752809,0.0243055555556,89,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2013,2014,2012,2013,B_data_equal,3485,26,3484,28,0.00803673938002,0.16,0.0072117689997,0.901772410879,0.198601353254,0.263157894737,0.438085057979,0.192307692308,0.416666666667,0.595141993017,0.259669514286,0.00202370627349,0.807692307692,0.538461538462,0.0864197530864,0.0427869326395,162,0.823815724206,0.0475500880923,0,0,0,0,0.499131944444,-0.00284456484931,0.00173611111111,1,0.25,0.0530303030303,0.0361689814815,132,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2013,2014,2012,2013,B_model_FIFO3_equal,3485,26,3484,28,0.00803673938002,0.1,0.00973723363131,0.919585473792,0.266572473544,0.363636363636,0.553897794248,0.307692307692,0.444444444444,0.652400649365,0.359728091126,0.00289100896213,0.692307692308,0.576923076923,0.108695652174,0.0355594102342,138,0.840246775794,0.0773736036083,0.111111111111,0.267029143526,0.0714285714286,0.25,0.534846230159,0.107924721547,0.00173611111111,0.928571428571,0.25,0.0598290598291,0.0318287037037,117,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2014,2015,2013,2014,Recent1y,3484,28,3504,33,0.00941780821918,0.04,0.00194576696958,0.796657986111,0.157792035113,0.244897959184,0.461904378375,0.214285714286,0.285714285714,0.604972718254,0.239660257166,0.00434027777778,0.785714285714,0.392857142857,0.0601092896175,0.0497685185185,183,0.756240014667,0.0609019820011,0.103896103896,0.346143418084,0.121212121212,0.0909090909091,0.554844032372,0.0941462098732,0.0115240564679,0.878787878788,0.272727272727,0.0436893203883,0.0567559781043,206,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2014,2015,2013,2014,B_data_equal,3484,28,3504,33,0.00941780821918,0.07,0.00534734642133,0.795872602513,0.114323514407,0.170212765957,0.377143345659,0.142857142857,0.210526315789,0.56925843254,0.164785719554,0.00434027777778,0.857142857143,0.392857142857,0.0683229813665,0.0434027777778,161,0.844791912208,0.0749293172689,0.202898550725,0.458638149222,0.212121212121,0.194444444444,0.601883135591,0.194987468672,0.00835494093921,0.787878787879,0.272727272727,0.0508474576271,0.0484010371651,177,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2014,2015,2013,2014,B_model_FIFO3_equal,3484,28,3504,33,0.00941780821918,0.2,0.00837631430477,0.852843915344,0.114447623462,0.181818181818,0.327232109021,0.107142857143,0.6,0.55328207672,0.179820737279,0.000578703703704,0.892857142857,0.428571428571,0.0869565217391,0.0364583333333,138,0.858009655762,0.0872601812898,0.2,0.388576029583,0.151515151515,0.294117647059,0.574028967287,0.194843690759,0.00345721694036,0.848484848485,0.30303030303,0.0591715976331,0.0458081244598,169,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2015,2016,2014,2015,Recent1y,3504,33,3354,33,0.00983899821109,0.11,0.00514676002786,0.806317278227,0.0767973152215,0.218181818182,0.4254175227,0.181818181818,0.272727272727,0.588604279616,0.212246690508,0.00460962258715,0.818181818182,0.393939393939,0.0764705882353,0.0452319216364,170,0.81861980236,0.13847344888,0.2,0.425051142042,0.181818181818,0.222222222222,0.587747392625,0.192852630629,0.0063233965673,0.818181818182,0.545454545455,0.0807174887892,0.0617283950617,223,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2015,2016,2014,2015,B_data_equal,3504,33,3354,33,0.00983899821109,0.06,0.00428847409785,0.880062509276,0.0756060293317,0.181818181818,0.424739762439,0.181818181818,0.181818181818,0.587019721851,0.174039443702,0.00777873811582,0.818181818182,0.424242424242,0.0773480662983,0.0481129357534,181,0.860976522223,0.20666782805,0.258823529412,0.573775310549,0.333333333333,0.211538461538,0.66049382716,0.249792301302,0.0123456790123,0.666666666667,0.545454545455,0.0725806451613,0.069256248118,248,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
