split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_2+6,New,none,0.644572,0.247008,0.597790,0.538071,0.160297,0.335863,0.461929,0.640502,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_2+6,New,undersampling,0.644583,0.248644,0.593157,0.507614,0.164646,0.306884,0.492386,0.640589,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+6,New,oversampling,0.639037,0.243294,0.593834,0.535764,0.157381,0.341801,0.464236,0.633259,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+6,New,hybrid,0.643887,0.245727,0.598084,0.547300,0.158429,0.346420,0.452700,0.639432,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_3+5,Old,none,0.638831,0.242598,0.594808,0.546377,0.155913,0.352469,0.453623,0.644068,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_3+5,Old,undersampling,0.639185,0.242630,0.596747,0.560222,0.154847,0.364346,0.439778,0.644003,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_3+5,Old,oversampling,0.634543,0.223986,0.543435,0.787725,0.130554,0.625096,0.212275,0.635605,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_3+5,Old,hybrid,0.638435,0.240667,0.592762,0.545916,0.154358,0.356373,0.454084,0.642421,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_3+5,New,none,0.645019,0.250029,0.590411,0.491463,0.167664,0.290718,0.508537,0.634968,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}"
split_3+5,New,undersampling,0.644973,0.249045,0.590894,0.496539,0.166203,0.296822,0.503461,0.634997,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
