method,boundary_source,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.200000,0.800000,0.310000,0.849564,0.198337,0.722644,0.581882,0.119542,0.102543,0.418118
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.150000,0.850000,0.310000,0.852006,0.198922,0.720945,0.578397,0.120116,0.101376,0.421603
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.100000,0.900000,0.290000,0.853735,0.194491,0.732464,0.602787,0.115952,0.109962,0.397213
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.050000,0.950000,0.270000,0.854536,0.190981,0.743663,0.627178,0.112641,0.118216,0.372822
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.000000,1.000000,0.260000,0.854152,0.185280,0.741622,0.627178,0.108696,0.123051,0.372822
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",1.000000,0.000000,0.450000,0.675136,0.099393,0.525452,0.313589,0.059055,0.119550,0.686411
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.950000,0.050000,0.430000,0.696671,0.101480,0.540754,0.334495,0.059813,0.125802,0.665505
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.900000,0.100000,0.430000,0.714129,0.106136,0.542890,0.334495,0.063075,0.118883,0.665505
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.850000,0.150000,0.450000,0.729485,0.115796,0.536862,0.320557,0.070661,0.100875,0.679443
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.800000,0.200000,0.450000,0.743318,0.122853,0.541671,0.324042,0.075795,0.094539,0.675958
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.750000,0.250000,0.400000,0.755967,0.127590,0.599220,0.407666,0.075630,0.119216,0.592334
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.700000,0.300000,0.420000,0.767539,0.139477,0.592432,0.390244,0.084913,0.100625,0.609756
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.650000,0.350000,0.420000,0.778158,0.145525,0.596558,0.393728,0.089258,0.096123,0.606272
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.600000,0.400000,0.430000,0.787651,0.157932,0.599905,0.393728,0.098776,0.085952,0.606272
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.550000,0.450000,0.450000,0.796137,0.175911,0.599084,0.386760,0.113846,0.072030,0.613240
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.500000,0.500000,0.430000,0.803670,0.180245,0.632564,0.435540,0.113636,0.081284,0.564460
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.450000,0.550000,0.400000,0.810332,0.180412,0.664871,0.487805,0.110672,0.093789,0.512195
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.400000,0.600000,0.420000,0.816056,0.183473,0.646539,0.456446,0.114812,0.084202,0.543554
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.350000,0.650000,0.430000,0.820925,0.189655,0.650094,0.459930,0.119457,0.081117,0.540070
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.300000,0.700000,0.430000,0.825090,0.192667,0.655089,0.466899,0.121377,0.080867,0.533101
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.250000,0.750000,0.440000,0.828649,0.197349,0.656069,0.466899,0.125117,0.078116,0.533101
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.200000,0.800000,0.440000,0.831661,0.199134,0.665066,0.480836,0.125569,0.080117,0.519164
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.150000,0.850000,0.420000,0.834304,0.196440,0.687296,0.519164,0.121138,0.090121,0.480836
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.100000,0.900000,0.440000,0.836744,0.201669,0.680334,0.505226,0.125977,0.083868,0.494774
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.050000,0.950000,0.460000,0.838767,0.209199,0.673504,0.491289,0.132893,0.076699,0.508711
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.000000,1.000000,0.480000,0.840127,0.214230,0.665828,0.477352,0.138105,0.071280,0.522648
