split,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.15000000,0.85000000,0.50000000,0.69052291,0.78695885,0.26280018,0.16536661,0.51589168,0.58477755,0.28741328,0.36933798,0.24207012,0.10653266,0.07400163,0.07411421,0.71258672,0.63066202
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.10000000,0.90000000,0.52000000,0.69196284,0.78963418,0.26167360,0.17031630,0.51045649,0.58326900,0.28047572,0.36585366,0.24523397,0.11099366,0.07098615,0.07011255,0.71952428,0.63414634
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.05000000,0.95000000,0.54000000,0.69308651,0.79184910,0.26425856,0.17318901,0.50712400,0.58129099,0.27552032,0.36236934,0.25388128,0.11378556,0.06658517,0.06752814,0.72447968,0.63763066
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.00000000,1.00000000,0.54000000,0.69381887,0.79363919,0.26630679,0.16888194,0.52097176,0.59040140,0.29335976,0.37630662,0.24382208,0.10887097,0.07481663,0.07369737,0.70664024,0.62369338
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,1.00000000,0.00000000,0.06000000,0.56778991,0.59709490,0.15952611,0.05882353,0.55352497,0.57278960,0.56932153,0.57839721,0.09275873,0.03098749,0.46183331,0.43276365,0.43067847,0.42160279
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.95000000,0.05000000,0.06000000,0.59075532,0.64343157,0.16597510,0.06352459,0.56531778,0.59769802,0.60963618,0.64808362,0.09606446,0.03339917,0.47577883,0.44877032,0.39036382,0.35191638
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.90000000,0.10000000,0.06000000,0.60585934,0.67203873,0.17344313,0.06941716,0.57798716,0.62710652,0.66273353,0.73867596,0.09977794,0.03641986,0.49592236,0.46761150,0.33726647,0.26132404
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.85000000,0.15000000,0.12000000,0.61764584,0.69339431,0.17892157,0.07855127,0.57533559,0.63058644,0.50245821,0.58188153,0.10883919,0.04211854,0.34121677,0.31663193,0.49754179,0.41811847
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.80000000,0.20000000,0.12000000,0.62759760,0.71088767,0.18556350,0.08274286,0.58944146,0.65210688,0.53588987,0.63066202,0.11220918,0.04427593,0.35165552,0.32571905,0.46411013,0.36933798
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.75000000,0.25000000,0.13000000,0.63639592,0.72591309,0.19355962,0.08744447,0.60057953,0.66707505,0.54670600,0.65156794,0.11759729,0.04686717,0.34023813,0.31704877,0.45329400,0.34843206
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.70000000,0.30000000,0.21000000,0.64427053,0.73896702,0.19937092,0.09537167,0.56194135,0.61474297,0.40511308,0.47386760,0.13222080,0.05302144,0.22051868,0.20250104,0.59488692,0.52613240
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.65000000,0.35000000,0.24000000,0.65140407,0.75059614,0.20676792,0.10086682,0.55539145,0.60585191,0.38151426,0.44599303,0.14181287,0.05686362,0.19148589,0.17699041,0.61848574,0.55400697
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.60000000,0.40000000,0.25000000,0.65795812,0.76118388,0.21302098,0.10856454,0.55991942,0.62402277,0.38446411,0.47038328,0.14732479,0.06136364,0.18455391,0.17215506,0.61553589,0.52961672
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.55000000,0.45000000,0.25000000,0.66386637,0.77055161,0.22459893,0.11377011,0.57915042,0.64502632,0.41297935,0.50522648,0.15424165,0.06410256,0.18781602,0.17649020,0.58702065,0.49477352
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.50000000,0.50000000,0.26000000,0.66925851,0.77903133,0.22844591,0.11811973,0.57909975,0.65149455,0.40904621,0.51219512,0.15847619,0.06675749,0.18015006,0.17132138,0.59095379,0.48780488
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.45000000,0.55000000,0.27000000,0.67410024,0.78657600,0.23390498,0.12448133,0.58154279,0.66081783,0.40904621,0.52264808,0.16377953,0.07065473,0.17321807,0.16448520,0.59095379,0.47735192
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.40000000,0.60000000,0.30000000,0.67842253,0.79308800,0.23822715,0.13483146,0.56857228,0.65606649,0.38053097,0.50174216,0.17338710,0.07787994,0.15046485,0.14214256,0.61946903,0.49825784
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.35000000,0.65000000,0.32000000,0.68232480,0.79905536,0.24132339,0.14257028,0.56147024,0.65597439,0.36578171,0.49477352,0.18005808,0.08328446,0.13815038,0.13030429,0.63421829,0.50522648
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.30000000,0.70000000,0.30000000,0.68589580,0.80409607,0.24448420,0.14828048,0.58291608,0.70162422,0.40314651,0.57839721,0.17543860,0.08504098,0.15715218,0.14889537,0.59685349,0.42160279
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.25000000,0.75000000,0.31000000,0.68909873,0.80847014,0.24782478,0.15041021,0.58572372,0.70101349,0.40609636,0.57491289,0.17832470,0.08652334,0.15519491,0.14522718,0.59390364,0.42508711
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.20000000,0.80000000,0.33000000,0.69196743,0.81216186,0.25117739,0.15548044,0.58017551,0.69647113,0.39331367,0.56097561,0.18450185,0.09024664,0.14418529,0.13530638,0.60668633,0.43902439
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.15000000,0.85000000,0.34000000,0.69448282,0.81522382,0.25411914,0.15874571,0.58173002,0.69967399,0.39429695,0.56445993,0.18747078,0.09236032,0.14173870,0.13272197,0.60570305,0.43554007
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.10000000,0.90000000,0.35000000,0.69669613,0.81780126,0.25637755,0.16226979,0.58303575,0.70294244,0.39528024,0.56794425,0.18971213,0.09465738,0.14002610,0.12997082,0.60471976,0.43205575
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.05000000,0.95000000,0.35000000,0.69865379,0.81985002,0.25626566,0.16328502,0.58672208,0.71387451,0.40216323,0.58885017,0.18804598,0.09478407,0.14402218,0.13455607,0.59783677,0.41114983
split_2+14,2001,1999-2000,2001-2014,no_fs,19,19,,0.00000000,1.00000000,0.35000000,0.70032462,0.82120715,0.25733496,0.16462841,0.59333563,0.72468476,0.41396264,0.60975610,0.18669623,0.09516041,0.14956777,0.13872447,0.58603736,0.39024390
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",1.00000000,0.00000000,0.26000000,0.55353189,0.54206006,0.15629070,0.04929052,0.48405975,0.43057036,0.29498525,0.22996516,0.10630758,0.02760351,0.20567607,0.19383076,0.70501475,0.77003484
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.95000000,0.05000000,0.28000000,0.57917009,0.58866833,0.15958034,0.05155054,0.48010034,0.42820667,0.28416912,0.22299652,0.11094050,0.02914390,0.18887620,0.17774073,0.71583088,0.77700348
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.90000000,0.10000000,0.06000000,0.59673048,0.61900211,0.16668509,0.06155568,0.54906110,0.58493748,0.74139626,0.76655052,0.09389788,0.03206530,0.59337792,0.55364735,0.25860374,0.23344948
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.85000000,0.15000000,0.10000000,0.61081345,0.64280398,0.17598927,0.06802244,0.58384597,0.61775784,0.64503441,0.67595819,0.10189500,0.03581318,0.47153809,0.43543143,0.35496559,0.32404181
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.80000000,0.20000000,0.12000000,0.62281149,0.66253825,0.18202471,0.07443794,0.59454865,0.64126221,0.63028515,0.68641115,0.10637239,0.03935278,0.43916164,0.40091705,0.36971485,0.31358885
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.75000000,0.25000000,0.15000000,0.63341230,0.67967054,0.18850502,0.07954062,0.60026167,0.64954072,0.58210423,0.65156794,0.11246201,0.04235561,0.38101452,0.35248020,0.41789577,0.34843206
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.70000000,0.30000000,0.26000000,0.64297090,0.69504367,0.19980315,0.08283186,0.55966995,0.57042502,0.39921337,0.40766551,0.13324582,0.04609929,0.21538085,0.20183410,0.60078663,0.59233449
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.65000000,0.35000000,0.26000000,0.65171845,0.70872213,0.20853308,0.09247757,0.57693011,0.60867319,0.42772861,0.46689895,0.13787639,0.05132133,0.22182352,0.20650271,0.57227139,0.53310105
split_2+14,2001,1999-2000,2001-2014,fs,19,9,"X1,X4,X6,X7,X10,X11,X12,X13",0.60000000,0.40000000,0.30000000,0.65962073,0.72120352,0.21861233,0.09689140,0.56546727,0.58818617,0.39036382,0.41811847,0.15181644,0.05479452,0.18088403,0.17257190,0.60963618,0.58188153
