split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_3+13,2002,1999-2001,2002-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.38000000,0.70881176,0.81951539,0.26952224,0.16016641,0.59109391,0.68577653,0.40216323,0.53658537,0.20267592,0.09413203,0.13121840,0.12355148,0.59783677,0.46341463
split_3+13,2002,1999-2001,2002-2014,no_fs,Equal6,Old3/New3 equal weight,0.50000000,0.27000000,0.68345399,0.78307134,0.23855681,0.12433538,0.59625822,0.66411261,0.43559489,0.52961672,0.16425658,0.07043559,0.18381993,0.16723635,0.56440511,0.47038328
split_3+13,2002,1999-2001,2002-2014,no_fs,ValBestSingle_F1,New_under,,0.12000000,0.71917939,0.83481154,0.27467811,0.16897375,0.61315107,0.72997714,0.44051131,0.61672474,0.19955457,0.09789823,0.14655032,0.13597332,0.55948869,0.38327526
split_3+13,2002,1999-2001,2002-2014,no_fs,ValBestSingle_AUC,New_under,,0.12000000,0.71917939,0.83481154,0.27467811,0.16897375,0.61315107,0.72997714,0.44051131,0.61672474,0.19955457,0.09789823,0.14655032,0.13597332,0.55948869,0.38327526
split_3+13,2002,1999-2001,2002-2014,no_fs,DAWCE_F1,Old3/New3 w_new=0.85,0.85000000,0.38000000,0.70504562,0.81551198,0.27015707,0.15646259,0.57895703,0.65357522,0.38053097,0.48083624,0.20941558,0.09343263,0.11914859,0.11162985,0.61946903,0.51916376
split_3+13,2002,1999-2001,2002-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.38000000,0.70881176,0.81951539,0.26952224,0.16016641,0.59109391,0.68577653,0.40216323,0.53658537,0.20267592,0.09413203,0.13121840,0.12355148,0.59783677,0.46341463
split_3+13,2002,1999-2001,2002-2014,fs,New_under,New_under,1.00000000,0.16000000,0.72524384,0.82995121,0.27569274,0.17937220,0.58396772,0.70381217,0.38643068,0.55749129,0.21428571,0.10688043,0.11751753,0.11146311,0.61356932,0.44250871
split_3+13,2002,1999-2001,2002-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.52000000,0.70426702,0.79496451,0.26710098,0.16974675,0.54156763,0.62788145,0.32251721,0.43205575,0.22793607,0.10562181,0.09060512,0.08753647,0.67748279,0.56794425
split_3+13,2002,1999-2001,2002-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.33000000,0.68029111,0.74681088,0.23535762,0.10812976,0.59158772,0.62370848,0.42871190,0.47038328,0.16220238,0.06108597,0.18365683,0.17298875,0.57128810,0.52961672
split_3+13,2002,1999-2001,2002-2014,fs,ValBestSingle_F1,New_under,,0.16000000,0.72524384,0.82995121,0.27569274,0.17937220,0.58396772,0.70381217,0.38643068,0.55749129,0.21428571,0.10688043,0.11751753,0.11146311,0.61356932,0.44250871
split_3+13,2002,1999-2001,2002-2014,fs,ValBestSingle_AUC,New_under,,0.16000000,0.72524384,0.82995121,0.27569274,0.17937220,0.58396772,0.70381217,0.38643068,0.55749129,0.21428571,0.10688043,0.11751753,0.11146311,0.61356932,0.44250871
split_3+13,2002,1999-2001,2002-2014,fs,DAWCE_F1,Old3/New3 w_new=0.90,0.90000000,0.47000000,0.70332363,0.79114294,0.27083333,0.16000000,0.56547805,0.64659700,0.35791544,0.46689895,0.21783363,0.09654179,0.10658946,0.10454356,0.64208456,0.53310105
split_3+13,2002,1999-2001,2002-2014,fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.52000000,0.70426702,0.79496451,0.26710098,0.16974675,0.54156763,0.62788145,0.32251721,0.43205575,0.22793607,0.10562181,0.09060512,0.08753647,0.67748279,0.56794425
split_4+12,2003,1999-2002,2003-2014,no_fs,New_under,New_under,1.00000000,0.16000000,0.72848665,0.85756812,0.28033157,0.21405953,0.57826471,0.73056187,0.37349398,0.58885017,0.22436671,0.13080495,0.10469755,0.09362234,0.62650602,0.41114983
split_4+12,2003,1999-2002,2003-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.52000000,0.71253540,0.83872171,0.27426364,0.22336770,0.51650566,0.65173081,0.28514056,0.45296167,0.26418605,0.14823261,0.06439795,0.06227595,0.71485944,0.54703833
split_4+12,2003,1999-2002,2003-2014,no_fs,Equal6,Old3/New3 equal weight,0.50000000,0.28000000,0.68827316,0.79976529,0.23677582,0.13338857,0.59179539,0.68485823,0.42469880,0.56097561,0.16414435,0.07569346,0.17536432,0.16390163,0.57530120,0.43902439
split_4+12,2003,1999-2002,2003-2014,no_fs,ValBestSingle_F1,New_under,,0.16000000,0.72848665,0.85756812,0.28033157,0.21405953,0.57826471,0.73056187,0.37349398,0.58885017,0.22436671,0.13080495,0.10469755,0.09362234,0.62650602,0.41114983
split_4+12,2003,1999-2002,2003-2014,no_fs,ValBestSingle_AUC,New_under,,0.16000000,0.72848665,0.85756812,0.28033157,0.21405953,0.57826471,0.73056187,0.37349398,0.58885017,0.22436671,0.13080495,0.10469755,0.09362234,0.62650602,0.41114983
split_4+12,2003,1999-2002,2003-2014,no_fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.52000000,0.71253540,0.83872171,0.27426364,0.22336770,0.51650566,0.65173081,0.28514056,0.45296167,0.26418605,0.14823261,0.06439795,0.06227595,0.71485944,0.54703833
split_4+12,2003,1999-2002,2003-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.52000000,0.71253540,0.83872171,0.27426364,0.22336770,0.51650566,0.65173081,0.28514056,0.45296167,0.26418605,0.14823261,0.06439795,0.06227595,0.71485944,0.54703833
split_4+12,2003,1999-2002,2003-2014,fs,New_under,New_under,1.00000000,0.23000000,0.72809340,0.82447361,0.28766500,0.19131833,0.54259523,0.62102077,0.31726908,0.41463415,0.26311407,0.12434692,0.07205080,0.06986244,0.68273092,0.58536585
split_4+12,2003,1999-2002,2003-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.52000000,0.71306009,0.81835463,0.28026534,0.18961938,0.55639393,0.66084816,0.33935743,0.47735192,0.23870056,0.11830743,0.08776358,0.08511880,0.66064257,0.52264808
split_4+12,2003,1999-2002,2003-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.41000000,0.68566834,0.77326674,0.23722349,0.13202934,0.52803416,0.58083907,0.31224900,0.37630662,0.19126691,0.08005930,0.10705854,0.10345977,0.68775100,0.62369338
split_4+12,2003,1999-2002,2003-2014,fs,ValBestSingle_F1,New_under,,0.23000000,0.72809340,0.82447361,0.28766500,0.19131833,0.54259523,0.62102077,0.31726908,0.41463415,0.26311407,0.12434692,0.07205080,0.06986244,0.68273092,0.58536585
split_4+12,2003,1999-2002,2003-2014,fs,ValBestSingle_AUC,New_under,,0.23000000,0.72809340,0.82447361,0.28766500,0.19131833,0.54259523,0.62102077,0.31726908,0.41463415,0.26311407,0.12434692,0.07205080,0.06986244,0.68273092,0.58536585
split_4+12,2003,1999-2002,2003-2014,fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.52000000,0.71306009,0.81835463,0.28026534,0.18961938,0.55639393,0.66084816,0.33935743,0.47735192,0.23870056,0.11830743,0.08776358,0.08511880,0.66064257,0.52264808
