model,metric,split,value,method,sampling,plot_role
XGB,F1,split_7+9,0.302772,New,undersampling,point
RF,F1,split_8+8,0.097665,Old,none,point
RF,F1,split_8+8,0.241145,New,undersampling,point
TabM,F1,split_8+8,0.090364,Old,none,point
TabM,F1,split_8+8,0.218868,New,hybrid,point
XGB,F1,split_8+8,0.107618,Old,none,point
XGB,F1,split_8+8,0.321429,New,undersampling,point
RF,F1,split_9+7,0.123711,Old,none,point
RF,F1,split_9+7,0.279159,New,none,point
TabM,F1,split_9+7,0.103649,Old,none,point
TabM,F1,split_9+7,0.220676,New,oversampling,point
XGB,F1,split_9+7,0.136100,Old,undersampling,point
XGB,F1,split_9+7,0.300412,New,none,point
RF,AUC,ALL,0.859615,Retrain,none,reference_line
TabM,AUC,ALL,0.804550,Retrain,hybrid,reference_line
XGB,AUC,ALL,0.856415,Retrain,undersampling,reference_line
RF,F1,ALL,0.243728,Retrain,none,reference_line
TabM,F1,ALL,0.156002,Retrain,none,reference_line
XGB,F1,ALL,0.237996,Retrain,undersampling,reference_line
