split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_8+8,Old,none,0.637862,0.085193,0.503605,0.292683,0.049852,0.133472,0.707317
split_8+8,Old,undersampling,0.643759,0.082015,0.465244,0.243902,0.049296,0.112547,0.756098
split_8+8,Old,oversampling,0.632660,0.072307,0.522686,0.337979,0.040484,0.191663,0.662021
split_8+8,Old,hybrid,0.698133,0.099117,0.550915,0.351916,0.057681,0.137557,0.648084
split_8+8,New,none,0.856647,0.260700,0.665787,0.466899,0.180837,0.050604,0.533101
split_8+8,New,undersampling,0.843779,0.248822,0.659783,0.459930,0.170543,0.053522,0.540070
split_8+8,New,oversampling,0.805333,0.192857,0.657291,0.470383,0.121294,0.081534,0.529617
split_8+8,New,hybrid,0.832584,0.237847,0.669612,0.477352,0.158382,0.060692,0.522648
split_8+8,Finetune,none,0.816173,0.186174,0.657922,0.473868,0.115843,0.086536,0.526132
split_8+8,Finetune,undersampling,0.810673,0.210440,0.647399,0.449477,0.137380,0.067528,0.550523
split_8+8,Finetune,oversampling,0.794777,0.137672,0.694039,0.574913,0.078199,0.162151,0.425087
split_8+8,Finetune,hybrid,0.833050,0.196418,0.706987,0.554007,0.119369,0.097791,0.445993
split_9+7,Old,none,0.687611,0.096987,0.554080,0.358885,0.056070,0.144560,0.641115
split_9+7,Old,undersampling,0.668079,0.092766,0.507490,0.292683,0.055118,0.120050,0.707317
split_9+7,Old,oversampling,0.662176,0.089491,0.561426,0.379791,0.050721,0.170071,0.620209
split_9+7,Old,hybrid,0.715616,0.106702,0.596848,0.421603,0.061080,0.155065,0.578397
split_9+7,New,none,0.863084,0.315789,0.606003,0.376307,0.272040,0.024093,0.623693
split_9+7,New,undersampling,0.836622,0.241316,0.658824,0.459930,0.163569,0.056273,0.540070
split_9+7,New,oversampling,0.809206,0.196956,0.600224,0.383275,0.132530,0.060025,0.616725
split_9+7,New,hybrid,0.836410,0.227790,0.695920,0.522648,0.145631,0.073364,0.477352
split_9+7,Finetune,none,0.832110,0.213170,0.707185,0.547038,0.132378,0.085786,0.452962
split_9+7,Finetune,undersampling,0.826997,0.168510,0.700005,0.557491,0.099256,0.121050,0.442509
split_9+7,Finetune,oversampling,0.794074,0.165727,0.674519,0.512195,0.098857,0.111713,0.487805
split_9+7,Finetune,hybrid,0.839120,0.184182,0.723701,0.592334,0.109044,0.115798,0.407666
split_10+6,Old,none,0.737436,0.118285,0.577906,0.379791,0.070051,0.120634,0.620209
split_10+6,Old,undersampling,0.731805,0.127033,0.615663,0.435540,0.074360,0.129721,0.564460
split_10+6,Old,oversampling,0.712485,0.105445,0.597977,0.425087,0.060187,0.158816,0.574913
split_10+6,Old,hybrid,0.762398,0.131369,0.578305,0.372822,0.079732,0.102960,0.627178
split_10+6,New,none,0.841434,0.277045,0.595559,0.365854,0.222930,0.030513,0.634146
split_10+6,New,undersampling,0.849344,0.279720,0.634348,0.418118,0.210158,0.037599,0.581882
split_10+6,New,oversampling,0.809391,0.178404,0.649644,0.463415,0.110465,0.089287,0.536585
split_10+6,New,hybrid,0.837558,0.238218,0.674093,0.484321,0.157955,0.061776,0.515679
split_10+6,Finetune,none,0.833825,0.205018,0.676885,0.498258,0.129061,0.080450,0.501742
split_10+6,Finetune,undersampling,0.805680,0.177500,0.668185,0.494774,0.108149,0.097624,0.505226
split_10+6,Finetune,oversampling,0.807070,0.171826,0.654249,0.473868,0.104938,0.096707,0.526132
split_10+6,Finetune,hybrid,0.848925,0.176775,0.751556,0.655052,0.102174,0.137724,0.344948
split_11+5,Old,none,0.744471,0.128614,0.624417,0.449477,0.075044,0.132555,0.550523
split_11+5,Old,undersampling,0.758013,0.138539,0.587554,0.383275,0.084550,0.099291,0.616725
split_11+5,Old,oversampling,0.706307,0.104645,0.567016,0.372822,0.060865,0.137641,0.627178
split_11+5,Old,hybrid,0.754350,0.129845,0.634780,0.466899,0.075408,0.136974,0.533101
split_11+5,New,none,0.862706,0.274760,0.655652,0.449477,0.197853,0.043602,0.550523
split_11+5,New,undersampling,0.847310,0.255639,0.669735,0.473868,0.175032,0.053439,0.526132
split_11+5,New,oversampling,0.819465,0.222453,0.595960,0.372822,0.158519,0.047353,0.627178
split_11+5,New,hybrid,0.828603,0.259908,0.681454,0.491289,0.176692,0.054773,0.508711
split_11+5,Finetune,none,0.832054,0.175135,0.706068,0.564460,0.103647,0.116799,0.435540
split_11+5,Finetune,undersampling,0.839730,0.198492,0.705606,0.550523,0.121073,0.095623,0.449477
split_11+5,Finetune,oversampling,0.801894,0.148817,0.713488,0.602787,0.084887,0.155481,0.397213
split_11+5,Finetune,hybrid,0.840153,0.174913,0.729056,0.609756,0.102100,0.128303,0.390244
split_12+4,Old,none,0.753138,0.136764,0.565656,0.351916,0.084874,0.090788,0.648084
split_12+4,Old,undersampling,0.742473,0.150376,0.590943,0.383275,0.093537,0.088870,0.616725
split_12+4,Old,oversampling,0.722458,0.112926,0.600517,0.421603,0.065194,0.144644,0.578397
split_12+4,Old,hybrid,0.778616,0.134113,0.664728,0.519164,0.077003,0.148895,0.480836
split_12+4,New,none,0.845104,0.260406,0.637476,0.425087,0.187692,0.044018,0.574913
split_12+4,New,undersampling,0.849566,0.281054,0.614244,0.390244,0.219608,0.033180,0.609756
split_12+4,New,oversampling,0.808077,0.229858,0.570103,0.337979,0.174147,0.038349,0.662021
split_12+4,New,hybrid,0.838368,0.250000,0.645947,0.439024,0.174757,0.049604,0.560976
split_12+4,Finetune,none,0.832826,0.212099,0.676193,0.494774,0.134981,0.075865,0.505226
split_12+4,Finetune,undersampling,0.838645,0.249084,0.668908,0.473868,0.168944,0.055773,0.526132
split_12+4,Finetune,oversampling,0.825331,0.190418,0.697618,0.540070,0.115585,0.098875,0.459930
split_12+4,Finetune,hybrid,0.848642,0.189602,0.753415,0.648084,0.111045,0.124135,0.351916
split_13+3,Old,none,0.758197,0.154871,0.549420,0.324042,0.101751,0.068445,0.675958
split_13+3,Old,undersampling,0.780664,0.151134,0.613964,0.418118,0.092237,0.098458,0.581882
split_13+3,Old,oversampling,0.745288,0.126456,0.592272,0.397213,0.075198,0.116882,0.602787
split_13+3,Old,hybrid,0.787173,0.136924,0.667999,0.522648,0.078782,0.146228,0.477352
split_13+3,New,none,0.855403,0.277603,0.662972,0.459930,0.198795,0.044352,0.540070
split_13+3,New,undersampling,0.856262,0.277910,0.626721,0.407666,0.210811,0.036515,0.592334
split_13+3,New,oversampling,0.808098,0.231441,0.594335,0.369338,0.168521,0.043602,0.630662
split_13+3,New,hybrid,0.840215,0.227707,0.681136,0.498258,0.147575,0.068862,0.501742
split_13+3,Finetune,none,0.832475,0.227066,0.640720,0.435540,0.153563,0.057441,0.564460
split_13+3,Finetune,undersampling,0.850348,0.216945,0.731267,0.588850,0.132966,0.091872,0.411150
split_13+3,Finetune,oversampling,0.830372,0.207547,0.677406,0.498258,0.131072,0.079033,0.501742
split_13+3,Finetune,hybrid,0.855472,0.199107,0.701869,0.543554,0.121875,0.093706,0.456446
split_14+2,Old,none,0.776364,0.152359,0.644064,0.466899,0.091033,0.111546,0.533101
split_14+2,Old,undersampling,0.794557,0.165992,0.624716,0.428571,0.102929,0.089371,0.571429
split_14+2,Old,oversampling,0.737781,0.108928,0.661666,0.550523,0.060444,0.204752,0.449477
split_14+2,Old,hybrid,0.793810,0.157079,0.690016,0.547038,0.091706,0.129637,0.452962
split_14+2,New,none,0.859088,0.264753,0.531980,0.289199,0.244118,0.021426,0.710801
split_14+2,New,undersampling,0.845041,0.267692,0.544207,0.303136,0.239669,0.023010,0.696864
split_14+2,New,oversampling,0.818055,0.204573,0.533699,0.296167,0.156250,0.038266,0.703833
split_14+2,New,hybrid,0.835277,0.223964,0.577697,0.348432,0.165017,0.042184,0.651568
split_14+2,Finetune,none,0.836355,0.190417,0.693711,0.533101,0.115909,0.097291,0.466899
split_14+2,Finetune,undersampling,0.842599,0.185207,0.694205,0.536585,0.111919,0.101876,0.463415
split_14+2,Finetune,oversampling,0.810373,0.159729,0.705376,0.574913,0.092749,0.134556,0.425087
split_14+2,Finetune,hybrid,0.846532,0.186179,0.711578,0.567944,0.111339,0.108462,0.432056
split_15+1,Old,none,0.788965,0.165266,0.613257,0.411150,0.103418,0.085286,0.588850
split_15+1,Old,undersampling,0.800873,0.189873,0.656634,0.470383,0.118943,0.083368,0.529617
split_15+1,Old,oversampling,0.753053,0.114847,0.657363,0.529617,0.064407,0.184077,0.470383
split_15+1,Old,hybrid,0.797952,0.144810,0.658848,0.498258,0.084716,0.128804,0.501742
split_15+1,New,none,0.844746,0.274223,0.507241,0.261324,0.288462,0.015423,0.738676
split_15+1,New,undersampling,0.843132,0.251969,0.522032,0.278746,0.229885,0.022343,0.721254
split_15+1,New,oversampling,0.798838,0.204570,0.559317,0.327526,0.148734,0.044852,0.672474
split_15+1,New,hybrid,0.823959,0.165843,0.682254,0.526132,0.098435,0.115298,0.473868
split_15+1,Finetune,none,0.839635,0.213043,0.686877,0.512195,0.134492,0.078866,0.487805
split_15+1,Finetune,undersampling,0.855769,0.224368,0.697356,0.526132,0.142587,0.075698,0.473868
split_15+1,Finetune,oversampling,0.802518,0.149509,0.717104,0.609756,0.085200,0.156649,0.390244
split_15+1,Finetune,hybrid,0.841064,0.143507,0.757267,0.714286,0.079767,0.197165,0.285714
