split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_14+2,New,undersampling,0.852561,0.262195,0.654365,0.449477,0.185079,0.047353,0.550523
split_14+2,New,oversampling,0.823658,0.156456,0.522052,0.289199,0.107235,0.057607,0.710801
split_14+2,New,hybrid,0.835631,0.198251,0.580033,0.355401,0.137466,0.053356,0.644599
split_14+2,Finetune,none,0.864809,0.207301,0.709758,0.554007,0.127506,0.090704,0.445993
split_14+2,Finetune,undersampling,0.862827,0.207792,0.727090,0.585366,0.126316,0.096874,0.414634
split_14+2,Finetune,oversampling,0.815848,0.142987,0.683475,0.547038,0.082242,0.146061,0.452962
split_14+2,Finetune,hybrid,0.826257,0.152505,0.718733,0.609756,0.087151,0.152814,0.390244
split_15+1,Old,none,0.820963,0.189210,0.625291,0.421603,0.121976,0.072614,0.578397
split_15+1,Old,undersampling,0.839415,0.193265,0.650860,0.459930,0.122335,0.078950,0.540070
split_15+1,Old,oversampling,0.778753,0.119846,0.578563,0.379791,0.071149,0.118633,0.620209
split_15+1,Old,hybrid,0.801357,0.150000,0.606941,0.407666,0.091909,0.096373,0.592334
split_15+1,New,none,0.861696,0.209747,0.731337,0.592334,0.127436,0.097040,0.407666
split_15+1,New,undersampling,0.851186,0.245763,0.447159,0.202091,0.313514,0.010588,0.797909
split_15+1,New,oversampling,0.820639,0.170481,0.679984,0.519164,0.101985,0.109379,0.480836
split_15+1,New,hybrid,0.807255,0.142566,0.346746,0.121951,0.171569,0.014089,0.878049
split_15+1,Finetune,none,0.862996,0.208758,0.738455,0.606272,0.126087,0.100542,0.393728
split_15+1,Finetune,undersampling,0.874924,0.220598,0.726409,0.578397,0.136289,0.087703,0.421603
split_15+1,Finetune,oversampling,0.821770,0.154229,0.685180,0.540070,0.089959,0.130721,0.459930
split_15+1,Finetune,hybrid,0.821754,0.161179,0.704250,0.571429,0.093822,0.132055,0.428571
