test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version
2011,2012,2010,2011,Recent3y,3625,35,3513,25,0.00711642470823,0.05,0.00462279515341,0.74912057302,0.0855013858545,0.111111111111,0.292116881033,0.0857142857143,0.157894736842,0.540628730601,0.105030346672,0.00445682451253,0.914285714286,0.171428571429,0.0394736842105,0.0406685236769,152,0.904564220183,0.116118389574,0.0714285714286,0.281664449985,0.08,0.0645161290323,0.535842889908,0.0640543503879,0.00831422018349,0.92,0.52,0.072625698324,0.0475917431193,179,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,B_data_equal,3625,35,3513,25,0.00711642470823,0.06,0.00666876742616,0.780270592917,0.0493706534595,0.11320754717,0.292157745114,0.0857142857143,0.166666666667,0.540768006367,0.107353364944,0.0041782729805,0.914285714286,0.257142857143,0.0661764705882,0.0353760445682,136,0.880194954128,0.120925048483,0.130434782609,0.345515171801,0.12,0.142857142857,0.557419724771,0.124747738994,0.00516055045872,0.88,0.36,0.0576923076923,0.0421444954128,156,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.06,0.0115366009995,0.830202944688,0.111907366882,0.161290322581,0.376804584878,0.142857142857,0.185185185185,0.568364504576,0.154177510545,0.00612813370474,0.857142857143,0.257142857143,0.0661764705882,0.0353760445682,136,0.897993119266,0.110763059385,0.179104477612,0.487363248286,0.24,0.142857142857,0.614839449541,0.171714443716,0.0103211009174,0.76,0.48,0.0740740740741,0.043004587156,162,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,A_validation_boundary_equal,3625,35,3513,25,0.00711642470823,0.02,0.00450769951567,0.840477516912,0.102390153064,0.144578313253,0.411610253028,0.171428571429,0.125,0.579864703542,0.134917567181,0.0116991643454,0.828571428571,0.342857142857,0.0670391061453,0.0465181058496,179,0.900504587156,0.138508093444,0.183908045977,0.561289472162,0.32,0.129032258065,0.652259174312,0.175545646562,0.0154816513761,0.68,0.56,0.0673076923077,0.055619266055,208,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,FullHistory,3625,35,3513,25,0.00711642470823,0.01,0.00668881041929,0.77742936729,0.0639024436628,0.0869565217391,0.439739097122,0.2,0.0555555555556,0.583426183844,0.0729464775011,0.033147632312,0.8,0.257142857143,0.0489130434783,0.0487465181058,184,0.895905963303,0.0698635035051,0.0941176470588,0.554464780361,0.32,0.0551724137931,0.640361238532,0.0829852871381,0.0392775229358,0.68,0.52,0.0607476635514,0.057626146789,214,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,Recent1y,3625,35,3513,25,0.00711642470823,0.01,0.00246047414839,0.687751691206,0.0371229308987,0.0816326530612,0.335272249222,0.114285714286,0.0634920634921,0.548925586948,0.0700889294265,0.01643454039,0.885714285714,0.285714285714,0.054347826087,0.0484679665738,184,0.806857798165,0.137691635037,0.131578947368,0.444254865276,0.2,0.0980392156863,0.593405963303,0.123204683139,0.0131880733945,0.8,0.4,0.0515463917526,0.052752293578,194,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2012,2010,2011,Recent5y,3625,35,3513,25,0.00711642470823,0.04,0.0068590240553,0.808531635495,0.086662777944,0.13698630137,0.376223299849,0.142857142857,0.131578947368,0.56683247115,0.128223235928,0.0091922005571,0.857142857143,0.228571428571,0.045197740113,0.0470752089136,177,0.897041284404,0.14947760698,0.213333333333,0.562269320691,0.32,0.16,0.653979357798,0.205797490181,0.0120412844037,0.68,0.56,0.0707070707071,0.052752293578,198,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,Recent3y,3513,25,3485,26,0.00746054519369,0.18,0.00292588048615,0.897912844037,0.191458282951,0.258064516129,0.399885304657,0.16,0.666666666667,0.579713302752,0.256015027209,0.000573394495413,0.84,0.56,0.0752688172043,0.0493119266055,186,0.883470100296,0.222933507685,0.235294117647,0.392005415272,0.153846153846,0.5,0.576344875131,0.232599894981,0.00115640358485,0.846153846154,0.5,0.0562770562771,0.0630239953744,231,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,B_data_equal,3513,25,3485,26,0.00746054519369,0.31,0.00658223824576,0.888681192661,0.238641427369,0.275862068966,0.4,0.16,1,0.58,0.274437680105,0,0.84,0.44,0.0709677419355,0.0412844036697,155,0.919240776569,0.203991961124,0.0645161290323,0.196002707636,0.0384615384615,0.2,0.518652567438,0.0622593365808,0.00115640358485,0.961538461538,0.576923076923,0.0824175824176,0.0482798496675,182,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2013,2011,2012,B_model_FIFO3_equal,3513,25,3485,26,0.00746054519369,0.08,0.00734832882881,0.918348623853,0.187102536169,0.260869565217,0.488843420645,0.24,0.285714285714,0.617849770642,0.256035578145,0.0043004587156,0.76,0.56,0.0833333333333,0.0441513761468,168,0.892587897792,0.231257288255,0.280701754386,0.552852930614,0.307692307692,0.258064516129,0.65052149354,0.274816908843,0.00664932061289,0.692307692308,0.5,0.0604651162791,0.058398381035,215,42,study3_ab_fair_event_target_v1_financial18_exploratory
