fs_method,integration,ensemble,split,AUC,F1,Recall
RFE,動態集成,Dynamic_KNORA_U,split_3+13,0.791200,0.129113,0.540070
RFE,靜態集成,New_3,split_4+12,0.843026,0.203279,0.540070
RFE,動態集成,Dynamic_DES_KNN,split_4+12,0.798426,0.145383,0.515679
RFE,動態集成,Dynamic_KNORA_E,split_4+12,0.782708,0.140590,0.540070
RFE,動態集成,Dynamic_KNORA_U,split_4+12,0.798021,0.142154,0.452962
RFE,靜態集成,New_3,split_5+11,0.853037,0.189106,0.641115
RFE,動態集成,Dynamic_DES_KNN,split_5+11,0.809124,0.151532,0.473868
RFE,動態集成,Dynamic_KNORA_E,split_5+11,0.766338,0.131451,0.470383
RFE,動態集成,Dynamic_KNORA_U,split_5+11,0.811127,0.147810,0.564460
RFE,靜態集成,New_3,split_6+10,0.851850,0.194930,0.602787
RFE,動態集成,Dynamic_DES_KNN,split_6+10,0.802843,0.149471,0.393728
RFE,動態集成,Dynamic_KNORA_E,split_6+10,0.766530,0.136185,0.421603
RFE,動態集成,Dynamic_KNORA_U,split_6+10,0.804258,0.160191,0.466899
RFE,靜態集成,New_3,split_7+9,0.855147,0.207792,0.585366
RFE,動態集成,Dynamic_DES_KNN,split_7+9,0.814730,0.139116,0.592334
RFE,動態集成,Dynamic_KNORA_E,split_7+9,0.788432,0.156522,0.470383
RFE,動態集成,Dynamic_KNORA_U,split_7+9,0.817791,0.157135,0.512195
RFE,靜態集成,New_3,split_8+8,0.851214,0.205224,0.574913
RFE,動態集成,Dynamic_DES_KNN,split_8+8,0.819152,0.148342,0.592334
RFE,動態集成,Dynamic_KNORA_E,split_8+8,0.788523,0.145241,0.560976
RFE,動態集成,Dynamic_KNORA_U,split_8+8,0.816832,0.153846,0.557491
RFE,靜態集成,New_3,split_9+7,0.858849,0.220753,0.581882
RFE,動態集成,Dynamic_DES_KNN,split_9+7,0.831374,0.189125,0.557491
RFE,動態集成,Dynamic_KNORA_E,split_9+7,0.820647,0.164835,0.574913
RFE,動態集成,Dynamic_KNORA_U,split_9+7,0.831592,0.168616,0.602787
RFE,靜態集成,New_3,split_10+6,0.861395,0.233766,0.533101
RFE,動態集成,Dynamic_DES_KNN,split_10+6,0.840706,0.201224,0.515679
RFE,動態集成,Dynamic_KNORA_E,split_10+6,0.822825,0.167158,0.592334
RFE,動態集成,Dynamic_KNORA_U,split_10+6,0.837480,0.169029,0.560976
RFE,靜態集成,New_3,split_11+5,0.863625,0.214109,0.602787
RFE,動態集成,Dynamic_DES_KNN,split_11+5,0.843208,0.229532,0.547038
RFE,動態集成,Dynamic_KNORA_E,split_11+5,0.826351,0.197098,0.567944
RFE,動態集成,Dynamic_KNORA_U,split_11+5,0.839880,0.182493,0.599303
RFE,靜態集成,New_3,split_12+4,0.854236,0.172805,0.637631
RFE,動態集成,Dynamic_DES_KNN,split_12+4,0.845300,0.178887,0.599303
RFE,動態集成,Dynamic_KNORA_E,split_12+4,0.828557,0.181189,0.547038
RFE,動態集成,Dynamic_KNORA_U,split_12+4,0.842131,0.180893,0.557491
RFE,靜態集成,New_3,split_13+3,0.869634,0.149740,0.752613
RFE,動態集成,Dynamic_DES_KNN,split_13+3,0.844817,0.189305,0.616725
RFE,動態集成,Dynamic_KNORA_E,split_13+3,0.832266,0.186826,0.543554
RFE,動態集成,Dynamic_KNORA_U,split_13+3,0.842306,0.185445,0.599303
RFE,靜態集成,New_3,split_14+2,0.860135,0.181818,0.641115
RFE,動態集成,Dynamic_DES_KNN,split_14+2,0.853140,0.184413,0.585366
RFE,動態集成,Dynamic_KNORA_E,split_14+2,0.822938,0.186100,0.564460
RFE,動態集成,Dynamic_KNORA_U,split_14+2,0.853642,0.173697,0.609756
RFE,靜態集成,New_3,split_15+1,0.836862,0.180199,0.599303
RFE,動態集成,Dynamic_DES_KNN,split_15+1,0.845549,0.187793,0.627178
RFE,動態集成,Dynamic_KNORA_E,split_15+1,0.793787,0.182249,0.536585
RFE,動態集成,Dynamic_KNORA_U,split_15+1,0.843835,0.182851,0.616725
