split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+7,Retrain,oversampling,0.657481,0.261317,0.595679,0.480849,0.179408,0.262070,0.519151,0.672338,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+7,Retrain,hybrid,0.659409,0.266082,0.565259,0.392247,0.201326,0.185417,0.607753,0.669869,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_2+6,Old,none,0.638588,0.240427,0.599185,0.634518,0.148312,0.434180,0.365482,0.664704,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_2+6,Old,undersampling,0.631345,0.235269,0.581202,0.507614,0.153118,0.334543,0.492386,0.666635,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_2+6,Old,oversampling,0.624557,0.234837,0.548098,0.390401,0.167924,0.230507,0.609599,0.658608,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_2+6,Old,hybrid,0.630430,0.233904,0.579808,0.507153,0.152006,0.337127,0.492847,0.661906,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_2+6,New,none,0.665294,0.265106,0.587786,0.449469,0.187995,0.231332,0.550531,0.676779,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_2+6,New,undersampling,0.663114,0.256914,0.602488,0.518689,0.170743,0.300176,0.481311,0.675119,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 100, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_2+6,New,oversampling,0.661224,0.261351,0.576598,0.425012,0.188691,0.217750,0.574988,0.674048,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 50, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_2+6,New,hybrid,0.659945,0.259802,0.593960,0.478542,0.178301,0.262785,0.521458,0.672426,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_3+5,Old,none,0.645534,0.245329,0.599197,0.557453,0.157271,0.355933,0.442547,0.686049,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_3+5,Old,undersampling,0.646470,0.245983,0.603037,0.582833,0.155887,0.376059,0.417167,0.684216,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_3+5,Old,oversampling,0.642663,0.248423,0.588919,0.490540,0.166328,0.292973,0.509460,0.678421,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
