test_year,validation_year,method,threshold,validation_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Type1_Error,validation_Type2_Error,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
2015,2014,Retrain_under,0.36000000,0.86102756,0.40316206,0.59392362,0.35915493,0.45945946,0.01784652,0.64084507,0.83561267,0.28037383,0.51399074,0.27027027,0.29126214,0.02251002,0.72972973
2015,2014,New_under,0.18000000,0.89031303,0.42675159,0.67608804,0.47183099,0.38953488,0.03123141,0.52816901,0.82547024,0.33802817,0.64479804,0.43243243,0.27745665,0.03854456,0.56756757
2015,2014,Equal6,0.54000000,0.84025689,0.38735178,0.58198526,0.34507042,0.44144144,0.01844140,0.65492958,0.81500001,0.30452675,0.56883100,0.33333333,0.28030303,0.02929386,0.66666667
2015,2014,DAWCE_AUC,0.61000000,0.87358296,0.48163265,0.64035554,0.41549296,0.57281553,0.01308745,0.58450704,0.83306248,0.34951456,0.56429060,0.32432432,0.37894737,0.01819303,0.67567568
2015,2014,AdaptiveChoice_AUC,0.18000000,0.89031303,0.42675159,0.67608804,0.47183099,0.38953488,0.03123141,0.52816901,0.82547024,0.33802817,0.64479804,0.43243243,0.27745665,0.03854456,0.56756757
2016,2015,Retrain_under,0.44000000,0.84677740,0.33333333,0.52487151,0.27927928,0.41333333,0.01356768,0.72072072,0.82654944,0.22929936,0.46147584,0.21686747,0.24324324,0.01801802,0.78313253
2016,2015,New_under,0.35000000,0.85554194,0.40758294,0.61691048,0.38738739,0.43000000,0.01757632,0.61261261,0.87099363,0.31055901,0.54412172,0.30120482,0.32051282,0.01705277,0.69879518
2016,2015,Equal6,0.54000000,0.84002967,0.32365145,0.58437341,0.35135135,0.30000000,0.02806044,0.64864865,0.81629995,0.23157895,0.50775109,0.26506024,0.20560748,0.02734878,0.73493976
2016,2015,DAWCE_AUC,0.60000000,0.85838938,0.39631336,0.61632931,0.38738739,0.40566038,0.01942646,0.61261261,0.84733916,0.30487805,0.54385449,0.30120482,0.30864198,0.01801802,0.69879518
2016,2015,AdaptiveChoice_AUC,0.60000000,0.85838938,0.39631336,0.61632931,0.38738739,0.40566038,0.01942646,0.61261261,0.84733916,0.30487805,0.54385449,0.30120482,0.30864198,0.01801802,0.69879518
2017,2016,Retrain_under,0.36000000,0.83934968,0.28409091,0.54278426,0.30120482,0.26881720,0.02187902,0.69879518,0.86605082,0.24285714,0.53998963,0.29824561,0.20481928,0.02231992,0.70175439
2017,2016,New_under,0.17000000,0.88276271,0.38423645,0.67648623,0.46987952,0.32500000,0.02606178,0.53012048,0.90108514,0.30573248,0.64049266,0.42105263,0.24000000,0.02570172,0.57894737
2017,2016,Equal6,0.48000000,0.84756012,0.31759657,0.65542005,0.44578313,0.24666667,0.03635779,0.55421687,0.88127488,0.26600985,0.67425626,0.47368421,0.18493151,0.04024349,0.52631579
2017,2016,DAWCE_AUC,0.57000000,0.88214635,0.38857143,0.63403003,0.40963855,0.36956522,0.01866152,0.59036145,0.89431560,0.35374150,0.66803282,0.45614035,0.28888889,0.02164356,0.54385965
2017,2016,AdaptiveChoice_AUC,0.17000000,0.88276271,0.38423645,0.67648623,0.46987952,0.32500000,0.02606178,0.53012048,0.90108514,0.30573248,0.64049266,0.42105263,0.24000000,0.02570172,0.57894737
2018,2017,Retrain_under,0.50000000,0.89190087,0.33684211,0.52783837,0.28070175,0.42105263,0.00743997,0.71929825,0.89837903,0.21917808,0.46885375,0.22222222,0.21621622,0.01079271,0.77777778
2018,2017,New_under,0.31000000,0.91325371,0.38983051,0.63112862,0.40350877,0.37704918,0.01285086,0.59649123,0.92043998,0.22857143,0.57119371,0.33333333,0.17391304,0.02121325,0.66666667
2018,2017,Equal6,0.66000000,0.89403082,0.35789474,0.54417602,0.29824561,0.44736842,0.00710179,0.70175439,0.87544970,0.20512821,0.46841256,0.22222222,0.19047619,0.01265352,0.77777778
2018,2017,DAWCE_AUC,0.67000000,0.91684317,0.41509434,0.61841791,0.38596491,0.44897959,0.00913088,0.61403509,0.91399950,0.20454545,0.49598312,0.25000000,0.17307692,0.01600298,0.75000000
2018,2017,AdaptiveChoice_AUC,0.67000000,0.91684317,0.41509434,0.61841791,0.38596491,0.44897959,0.00913088,0.61403509,0.91399950,0.20454545,0.49598312,0.25000000,0.17307692,0.01600298,0.75000000
