split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_3+13,3+13,no_fs,19,Old_3,ensemble,0.595915,0.056138,0.476263,0.289199,0.031086,0.215673,0.710801
split_3+13,3+13,no_fs,19,New_3,ensemble,0.835293,0.181710,0.689298,0.529617,0.109668,0.102876,0.470383
split_3+13,3+13,no_fs,19,All_6,ensemble,0.785574,0.127810,0.654104,0.505226,0.073158,0.153147,0.494774
split_3+13,3+13,no_fs,19,Old_under_New_under,ensemble,0.783223,0.137828,0.543147,0.320557,0.087786,0.079700,0.679443
split_3+13,3+13,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.772588,0.130605,0.664533,0.522648,0.074627,0.155065,0.477352
split_3+13,3+13,mutual_info_r50,9,Old,under,0.529985,0.051820,0.361357,0.146341,0.031484,0.107712,0.853659
split_3+13,3+13,mutual_info_r50,9,New,under,0.788686,0.179170,0.627825,0.428571,0.113260,0.080283,0.571429
split_3+13,3+13,mutual_info_r50,9,Old,over,0.560329,0.043937,0.284797,0.087108,0.029377,0.068862,0.912892
split_3+13,3+13,mutual_info_r50,9,New,over,0.743744,0.157047,0.608898,0.407666,0.097257,0.090538,0.592334
split_3+13,3+13,mutual_info_r50,9,Old,hybrid,0.577256,0.054855,0.455636,0.257840,0.030693,0.194831,0.742160
split_3+13,3+13,mutual_info_r50,9,New,hybrid,0.764710,0.142989,0.679969,0.540070,0.082403,0.143893,0.459930
split_3+13,3+13,mutual_info_r50,9,Old_3,ensemble,0.571758,0.050847,0.391139,0.177700,0.029668,0.139058,0.822300
split_3+13,3+13,mutual_info_r50,9,New_3,ensemble,0.784526,0.169552,0.665866,0.494774,0.102305,0.103877,0.505226
split_3+13,3+13,mutual_info_r50,9,All_6,ensemble,0.733840,0.105675,0.569714,0.376307,0.061468,0.137474,0.623693
split_3+13,3+13,mutual_info_r50,9,Old_under_New_under,ensemble,0.740859,0.129619,0.593500,0.397213,0.077446,0.113214,0.602787
split_3+13,3+13,mutual_info_r50,9,Old_hybrid_New_hybrid,ensemble,0.720269,0.089483,0.536388,0.337979,0.051568,0.148729,0.662021
split_3+13,3+13,mutual_info_r80,15,Old,under,0.576257,0.059880,0.451244,0.243902,0.034130,0.165152,0.756098
split_3+13,3+13,mutual_info_r80,15,New,under,0.831845,0.191131,0.693903,0.533101,0.116438,0.096790,0.466899
split_3+13,3+13,mutual_info_r80,15,Old,over,0.561850,0.057045,0.477451,0.289199,0.031643,0.211755,0.710801
split_3+13,3+13,mutual_info_r80,15,New,over,0.775229,0.142857,0.676356,0.533101,0.082480,0.141892,0.466899
split_3+13,3+13,mutual_info_r80,15,Old,hybrid,0.598765,0.058460,0.516424,0.362369,0.031795,0.264027,0.637631
split_3+13,3+13,mutual_info_r80,15,New,hybrid,0.812033,0.200271,0.686178,0.515679,0.124265,0.086953,0.484321
split_3+13,3+13,mutual_info_r80,15,Old_3,ensemble,0.594817,0.054154,0.452571,0.254355,0.030303,0.194748,0.745645
split_3+13,3+13,mutual_info_r80,15,New_3,ensemble,0.834555,0.169427,0.733523,0.623693,0.098028,0.137307,0.376307
split_3+13,3+13,mutual_info_r80,15,All_6,ensemble,0.786706,0.132739,0.636159,0.466899,0.077367,0.133222,0.533101
split_3+13,3+13,mutual_info_r80,15,Old_under_New_under,ensemble,0.801720,0.158062,0.624776,0.432056,0.096724,0.096540,0.567944
split_3+13,3+13,mutual_info_r80,15,Old_hybrid_New_hybrid,ensemble,0.764741,0.127252,0.688793,0.578397,0.071490,0.179742,0.421603
split_3+13,3+13,shap_r50,9,Old,under,0.560089,0.054027,0.399622,0.184669,0.031642,0.135223,0.815331
split_3+13,3+13,shap_r50,9,New,under,0.819003,0.211624,0.676102,0.494774,0.134597,0.076115,0.505226
split_3+13,3+13,shap_r50,9,Old,over,0.543936,0.050766,0.424848,0.219512,0.028702,0.177741,0.780488
split_3+13,3+13,shap_r50,9,New,over,0.787034,0.170398,0.655922,0.477352,0.103709,0.098708,0.522648
split_3+13,3+13,shap_r50,9,Old,hybrid,0.560830,0.046137,0.361476,0.149826,0.027267,0.127887,0.850174
split_3+13,3+13,shap_r50,9,New,hybrid,0.809134,0.177910,0.620711,0.418118,0.112994,0.078533,0.581882
split_3+13,3+13,shap_r50,9,Old_3,ensemble,0.566363,0.050082,0.418982,0.212544,0.028385,0.174073,0.787456
split_3+13,3+13,shap_r50,9,New_3,ensemble,0.825029,0.203184,0.657225,0.466899,0.129845,0.074865,0.533101
split_3+13,3+13,shap_r50,9,All_6,ensemble,0.772381,0.128348,0.595200,0.400697,0.076412,0.115882,0.599303
split_3+13,3+13,shap_r50,9,Old_under_New_under,ensemble,0.783902,0.151045,0.595800,0.390244,0.093645,0.090371,0.609756
split_3+13,3+13,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.749016,0.114983,0.622864,0.459930,0.065704,0.156482,0.540070
split_3+13,3+13,shap_r80,15,Old,under,0.566602,0.056615,0.388427,0.170732,0.033934,0.116298,0.829268
split_3+13,3+13,shap_r80,15,New,under,0.827505,0.188657,0.712343,0.567944,0.113116,0.106544,0.432056
split_3+13,3+13,shap_r80,15,Old,over,0.584189,0.057815,0.527776,0.393728,0.031198,0.292539,0.606272
split_3+13,3+13,shap_r80,15,New,over,0.788444,0.148429,0.648662,0.477352,0.087877,0.118549,0.522648
split_3+13,3+13,shap_r80,15,Old,hybrid,0.614283,0.059365,0.453252,0.247387,0.033729,0.169571,0.752613
split_3+13,3+13,shap_r80,15,New,hybrid,0.831137,0.161656,0.704453,0.571429,0.094145,0.131555,0.428571
split_3+13,3+13,shap_r80,15,Old_3,ensemble,0.604178,0.062164,0.531864,0.383275,0.033825,0.261942,0.616725
split_3+13,3+13,shap_r80,15,New_3,ensemble,0.842412,0.186211,0.702183,0.550523,0.112057,0.104377,0.449477
split_3+13,3+13,shap_r80,15,All_6,ensemble,0.794335,0.144592,0.622671,0.435540,0.086685,0.109796,0.564460
split_3+13,3+13,shap_r80,15,Old_under_New_under,ensemble,0.794615,0.166142,0.644258,0.459930,0.101382,0.097541,0.540070
split_3+13,3+13,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.783014,0.123433,0.619926,0.445993,0.071628,0.138308,0.554007
split_4+12,4+12,no_fs,19,Old,under,0.578354,0.057372,0.392167,0.174216,0.034341,0.117216,0.825784
split_4+12,4+12,no_fs,19,New,under,0.843976,0.208412,0.723482,0.578397,0.127106,0.095040,0.421603
split_4+12,4+12,no_fs,19,Old,over,0.573694,0.054886,0.436606,0.229965,0.031161,0.171071,0.770035
split_4+12,4+12,no_fs,19,New,over,0.793382,0.169195,0.671736,0.505226,0.101612,0.106878,0.494774
split_4+12,4+12,no_fs,19,Old,hybrid,0.609421,0.066366,0.483171,0.282230,0.037604,0.172822,0.717770
split_4+12,4+12,no_fs,19,New,hybrid,0.830832,0.189235,0.719920,0.581882,0.112991,0.109296,0.418118
split_4+12,4+12,no_fs,19,Old_3,ensemble,0.602254,0.064306,0.452262,0.240418,0.037117,0.149229,0.759582
split_4+12,4+12,no_fs,19,New_3,ensemble,0.850406,0.174690,0.730681,0.613240,0.101852,0.129387,0.386760
split_4+12,4+12,no_fs,19,All_6,ensemble,0.802306,0.146372,0.603616,0.404181,0.089368,0.098541,0.595819
split_4+12,4+12,no_fs,19,Old_under_New_under,ensemble,0.815728,0.159126,0.683514,0.533101,0.093521,0.123635,0.466899
split_4+12,4+12,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.782548,0.132004,0.645358,0.484321,0.076416,0.140058,0.515679
