split,method,sampling,tune_val_auc,tune_best_params
split_12+4,Old,oversampling,0.602527,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_12+4,Old,hybrid,0.604750,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,none,0.659135,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,undersampling,0.659265,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,oversampling,0.656895,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,hybrid,0.661439,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_13+3,Old,none,0.604981,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_13+3,Old,undersampling,0.605007,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_13+3,Old,oversampling,0.605212,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_13+3,Old,hybrid,0.607044,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_13+3,New,none,0.660594,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_13+3,New,undersampling,0.661171,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_13+3,New,oversampling,0.655743,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_13+3,New,hybrid,0.666821,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_14+2,Old,none,0.606840,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_14+2,Old,undersampling,0.606839,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_14+2,Old,oversampling,0.606216,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_14+2,Old,hybrid,0.606929,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_14+2,New,none,0.674510,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_14+2,New,undersampling,0.674804,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_14+2,New,oversampling,0.676790,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_14+2,New,hybrid,0.673578,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_15+1,Old,none,0.607469,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_15+1,Old,undersampling,0.607448,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_15+1,Old,oversampling,0.606300,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_15+1,Old,hybrid,0.608894,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_15+1,New,none,0.717470,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_15+1,New,undersampling,0.717788,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_15+1,New,oversampling,0.720707,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_15+1,New,hybrid,0.720495,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
