dataset,ensemble,type,subset,subset_indices,F1
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1440
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1219
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1345
O8 + N8,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2263
O8 + N8,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2602
O8 + N8,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.1978
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2086
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2379
O8 + N8,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.2000
O8 + N8,3models,k_subsets_mean,,,0.1867
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1421
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1225
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1308
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.2033
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2148
O8 + N8,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1776
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1951
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.1924
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1779
O8 + N8,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2562
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1682
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1841
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1625
O8 + N8,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2283
O8 + N8,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2330
O8 + N8,4models,k_subsets_mean,,,0.1859
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1516
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1711
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1531
O8 + N8,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.1988
O8 + N8,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2096
O8 + N8,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.2052
O8 + N8,5models,k_subsets_mean,,,0.1816
O8 + N8,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1880
