dataset,ensemble,type,subset,subset_indices,AUC
O14 + N2,Dynamic_DES_KNN,under,,,0.8479
O14 + N2,Dynamic_DES_KNN,over,,,0.7985
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.8362
O14 + N2,Dynamic_DES_KNN,all6,,,0.8531
avg,Dynamic_KNORA_E,under,,,0.7943
avg,Dynamic_KNORA_E,over,,,0.7668
avg,Dynamic_KNORA_E,hybrid,,,0.8002
avg,Dynamic_KNORA_E,all6,,,0.8044
avg,Dynamic_KNORA_U,under,,,0.8187
avg,Dynamic_KNORA_U,over,,,0.7686
avg,Dynamic_KNORA_U,hybrid,,,0.8064
avg,Dynamic_KNORA_U,all6,,,0.8218
avg,Dynamic_DES_KNN,under,,,0.8174
avg,Dynamic_DES_KNN,over,,,0.7707
avg,Dynamic_DES_KNN,hybrid,,,0.8063
avg,Dynamic_DES_KNN,all6,,,0.8233
