dataset,ensemble,type,subset,subset_indices,F1
O12 + N4,Dynamic_KNORA_E,under,,,0.2656
O12 + N4,Dynamic_KNORA_E,over,,,0.2030
O12 + N4,Dynamic_KNORA_E,hybrid,,,0.2238
O12 + N4,Dynamic_KNORA_E,all6,,,0.2698
O12 + N4,Dynamic_KNORA_U,under,,,0.2711
O12 + N4,Dynamic_KNORA_U,over,,,0.1957
O12 + N4,Dynamic_KNORA_U,hybrid,,,0.2220
O12 + N4,Dynamic_KNORA_U,all6,,,0.2594
O12 + N4,Dynamic_DES_KNN,under,,,0.2675
O12 + N4,Dynamic_DES_KNN,over,,,0.2092
O12 + N4,Dynamic_DES_KNN,hybrid,,,0.2167
O12 + N4,Dynamic_DES_KNN,all6,,,0.2785
O14 + N2,Dynamic_KNORA_E,under,,,0.2520
O14 + N2,Dynamic_KNORA_E,over,,,0.1982
O14 + N2,Dynamic_KNORA_E,hybrid,,,0.2192
O14 + N2,Dynamic_KNORA_E,all6,,,0.2607
O14 + N2,Dynamic_KNORA_U,under,,,0.2931
O14 + N2,Dynamic_KNORA_U,over,,,0.2022
O14 + N2,Dynamic_KNORA_U,hybrid,,,0.2398
O14 + N2,Dynamic_KNORA_U,all6,,,0.2626
O14 + N2,Dynamic_DES_KNN,under,,,0.2873
O14 + N2,Dynamic_DES_KNN,over,,,0.2025
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.2291
O14 + N2,Dynamic_DES_KNN,all6,,,0.2741
avg,Dynamic_KNORA_E,under,,,0.2141
avg,Dynamic_KNORA_E,over,,,0.1523
avg,Dynamic_KNORA_E,hybrid,,,0.1780
avg,Dynamic_KNORA_E,all6,,,0.2048
avg,Dynamic_KNORA_U,under,,,0.2253
avg,Dynamic_KNORA_U,over,,,0.1504
avg,Dynamic_KNORA_U,hybrid,,,0.1814
avg,Dynamic_KNORA_U,all6,,,0.1971
avg,Dynamic_DES_KNN,under,,,0.2228
avg,Dynamic_DES_KNN,over,,,0.1543
avg,Dynamic_DES_KNN,hybrid,,,0.1805
avg,Dynamic_DES_KNN,all6,,,0.2051
