dataset,ensemble,type,subset,subset_indices,Recall
O14 + N2,Dynamic_KNORA_U,hybrid,,,0.3171
O14 + N2,Dynamic_KNORA_U,all6,,,0.3275
O14 + N2,Dynamic_DES_KNN,under,,,0.3554
O14 + N2,Dynamic_DES_KNN,over,,,0.2857
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.2857
O14 + N2,Dynamic_DES_KNN,all6,,,0.3171
avg,Dynamic_KNORA_E,under,,,0.4062
avg,Dynamic_KNORA_E,over,,,0.4017
avg,Dynamic_KNORA_E,hybrid,,,0.4281
avg,Dynamic_KNORA_E,all6,,,0.3664
avg,Dynamic_KNORA_U,under,,,0.4216
avg,Dynamic_KNORA_U,over,,,0.4191
avg,Dynamic_KNORA_U,hybrid,,,0.4430
avg,Dynamic_KNORA_U,all6,,,0.4136
avg,Dynamic_DES_KNN,under,,,0.4246
avg,Dynamic_DES_KNN,over,,,0.4191
avg,Dynamic_DES_KNN,hybrid,,,0.4121
avg,Dynamic_DES_KNN,all6,,,0.4037
