dataset,ensemble,type,subset,subset_indices,Recall
O6 + N2,Dynamic_KNORA_U,all6,,,0.4352
O6 + N2,Dynamic_DES_KNN,under,,,0.4379
O6 + N2,Dynamic_DES_KNN,over,,,0.4744
O6 + N2,Dynamic_DES_KNN,hybrid,,,0.4915
O6 + N2,Dynamic_DES_KNN,all6,,,0.5491
O7 + N1,Dynamic_KNORA_E,under,,,0.5588
O7 + N1,Dynamic_KNORA_E,over,,,0.4495
O7 + N1,Dynamic_KNORA_E,hybrid,,,0.5828
O7 + N1,Dynamic_KNORA_E,all6,,,0.5528
O7 + N1,Dynamic_KNORA_U,under,,,0.5228
O7 + N1,Dynamic_KNORA_U,over,,,0.4536
O7 + N1,Dynamic_KNORA_U,hybrid,,,0.4070
O7 + N1,Dynamic_KNORA_U,all6,,,0.5593
O7 + N1,Dynamic_DES_KNN,under,,,0.4975
O7 + N1,Dynamic_DES_KNN,over,,,0.4550
O7 + N1,Dynamic_DES_KNN,hybrid,,,0.4066
O7 + N1,Dynamic_DES_KNN,all6,,,0.6248
avg,Dynamic_KNORA_E,under,,,0.4561
avg,Dynamic_KNORA_E,over,,,0.4597
avg,Dynamic_KNORA_E,hybrid,,,0.4693
avg,Dynamic_KNORA_E,all6,,,0.4627
avg,Dynamic_KNORA_U,under,,,0.4671
avg,Dynamic_KNORA_U,over,,,0.4641
avg,Dynamic_KNORA_U,hybrid,,,0.4468
avg,Dynamic_KNORA_U,all6,,,0.4749
avg,Dynamic_DES_KNN,under,,,0.4380
avg,Dynamic_DES_KNN,over,,,0.4635
avg,Dynamic_DES_KNN,hybrid,,,0.4502
avg,Dynamic_DES_KNN,all6,,,0.4940
