dataset,ensemble,type,subset,subset_indices,Recall
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.3031
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.5087
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4216
O6 + N10,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.4042
O6 + N10,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.5087
O6 + N10,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5017
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4390
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5610
O6 + N10,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5819
O6 + N10,3models,k_subsets_mean,,,0.4522
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.3868
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3798
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.2997
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4739
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5889
O6 + N10,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5296
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4739
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4321
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5366
O6 + N10,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4843
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4913
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5401
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.5296
O6 + N10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4634
O6 + N10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4564
O6 + N10,4models,k_subsets_mean,,,0.4711
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4355
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5331
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.5192
O6 + N10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5052
O6 + N10,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5261
O6 + N10,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4948
O6 + N10,5models,k_subsets_mean,,,0.5023
O6 + N10,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4948
O6 + N10,6models,k_subsets_mean,,,0.4948
O6 + N10,New,under,,,0.4181
O6 + N10,New,over,,,0.5017
O6 + N10,New,hybrid,,,0.4321
O6 + N10,Old,under,,,0.1533
O6 + N10,Old,over,,,0.2439
O6 + N10,Old,hybrid,,,0.2718
O6 + N10,OldNew,under,,,0.4808
O6 + N10,OldNew,over,,,0.4948
O6 + N10,OldNew,hybrid,,,0.5436
O8 + N8,2models,k_subset,Old_under+New_under,"0,3",0.4425
O8 + N8,2models,k_subset,Old_under+New_over,"0,4",0.3728
O8 + N8,2models,k_subset,Old_under+New_hybrid,"0,5",0.5296
O8 + N8,2models,k_subset,Old_over+New_under,"1,3",0.3972
O8 + N8,2models,k_subset,Old_over+New_over,"1,4",0.3310
O8 + N8,2models,k_subset,Old_over+New_hybrid,"1,5",0.4460
O8 + N8,2models,k_subset,Old_hybrid+New_under,"2,3",0.3554
O8 + N8,2models,k_subset,Old_hybrid+New_over,"2,4",0.3833
O8 + N8,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4495
O8 + N8,2models,k_subsets_mean,,,0.4119
O8 + N8,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.2544
O8 + N8,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4425
O8 + N8,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.2787
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3728
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3902
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4007
O8 + N8,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5122
O8 + N8,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.4077
O8 + N8,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.4286
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.2822
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.3031
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.3136
O8 + N8,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.3693
O8 + N8,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.3763
O8 + N8,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4355
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4460
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4634
O8 + N8,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4425
O8 + N8,3models,k_subsets_mean,,,0.3844
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.2822
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.2822
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.2892
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.3449
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4390
