split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_10+6,New,hybrid,0.821941,0.191597,0.609167,0.397213,0.126246,0.065777,0.602787
split_11+5,Old,none,0.744522,0.115669,0.639503,0.491289,0.065551,0.167570,0.508711
split_11+5,Old,undersampling,0.710780,0.127004,0.557867,0.344948,0.077830,0.097791,0.655052
split_11+5,Old,oversampling,0.671866,0.098146,0.524879,0.313589,0.058177,0.121467,0.686411
split_11+5,Old,hybrid,0.713817,0.104521,0.525165,0.310105,0.062853,0.110629,0.689895
split_11+5,Finetune,none,0.803211,0.112144,0.696814,0.630662,0.061544,0.230096,0.369338
split_11+5,Finetune,undersampling,0.803790,0.165708,0.668634,0.501742,0.099242,0.108962,0.498258
split_11+5,Finetune,oversampling,0.813514,0.163812,0.685300,0.533101,0.096774,0.119050,0.466899
split_11+5,Finetune,hybrid,0.832141,0.172139,0.724496,0.602787,0.100406,0.129221,0.397213
split_11+5,New,none,0.794078,0.232680,0.547766,0.310105,0.186192,0.032430,0.689895
split_11+5,New,undersampling,0.789692,0.197256,0.612515,0.400697,0.130830,0.063693,0.599303
split_11+5,New,oversampling,0.774885,0.214145,0.600081,0.379791,0.149111,0.051855,0.620209
split_11+5,New,hybrid,0.818603,0.198441,0.669170,0.487805,0.124555,0.082034,0.512195
split_12+4,Old,none,0.733645,0.121184,0.620715,0.449477,0.070033,0.142810,0.550523
split_12+4,Old,undersampling,0.719851,0.109046,0.619005,0.459930,0.061856,0.166903,0.540070
split_12+4,Old,oversampling,0.699113,0.120321,0.533230,0.313589,0.074442,0.093289,0.686411
split_12+4,Old,hybrid,0.702403,0.112657,0.517778,0.296167,0.069558,0.094789,0.703833
split_12+4,Finetune,none,0.802510,0.133436,0.703987,0.602787,0.075022,0.177824,0.397213
split_12+4,Finetune,undersampling,0.782927,0.161233,0.651101,0.473868,0.097143,0.105377,0.526132
split_12+4,Finetune,oversampling,0.808234,0.151502,0.708317,0.588850,0.086934,0.147978,0.411150
split_12+4,Finetune,hybrid,0.819571,0.153319,0.725612,0.623693,0.087402,0.155815,0.376307
split_12+4,New,none,0.778669,0.202305,0.515498,0.275261,0.159919,0.034598,0.724739
split_12+4,New,undersampling,0.773895,0.191429,0.476147,0.233449,0.162228,0.028845,0.766551
split_12+4,New,oversampling,0.774451,0.205072,0.556601,0.324042,0.150000,0.043935,0.675958
split_12+4,New,hybrid,0.811366,0.197674,0.660469,0.473868,0.124885,0.079450,0.526132
split_13+3,Old,none,0.744041,0.142774,0.615643,0.425087,0.085795,0.108378,0.574913
split_13+3,Old,undersampling,0.752956,0.125834,0.628929,0.459930,0.072888,0.139975,0.540070
split_13+3,Old,oversampling,0.695158,0.100877,0.530981,0.320557,0.059857,0.120467,0.679443
split_13+3,Old,hybrid,0.732944,0.118143,0.516757,0.292683,0.074009,0.087620,0.707317
split_13+3,Finetune,none,0.804457,0.146913,0.695834,0.567944,0.084369,0.147478,0.432056
split_13+3,Finetune,undersampling,0.784462,0.124796,0.666093,0.533101,0.070670,0.167737,0.466899
split_13+3,Finetune,oversampling,0.807206,0.170746,0.668238,0.498258,0.103026,0.103793,0.501742
split_13+3,Finetune,hybrid,0.814883,0.143594,0.722995,0.630662,0.081021,0.171155,0.369338
split_13+3,New,none,0.773992,0.199726,0.496476,0.254355,0.164414,0.030930,0.745645
split_13+3,New,undersampling,0.777957,0.193760,0.448406,0.205575,0.183230,0.021926,0.794425
split_13+3,New,oversampling,0.761090,0.170248,0.578231,0.358885,0.111593,0.068362,0.641115
split_13+3,New,hybrid,0.809781,0.180723,0.654481,0.470383,0.111848,0.089371,0.529617
split_14+2,Old,none,0.761383,0.131720,0.659863,0.512195,0.075578,0.149896,0.487805
split_14+2,Old,undersampling,0.749472,0.132602,0.634146,0.463415,0.077371,0.132222,0.536585
split_14+2,Old,oversampling,0.712148,0.108479,0.521586,0.303136,0.066059,0.102543,0.696864
split_14+2,Old,hybrid,0.757278,0.146949,0.608263,0.411150,0.089462,0.100125,0.588850
split_14+2,Finetune,none,0.798570,0.154661,0.668584,0.508711,0.091193,0.121301,0.491289
split_14+2,Finetune,undersampling,0.778411,0.138970,0.656226,0.498258,0.080745,0.135723,0.501742
split_14+2,Finetune,oversampling,0.785540,0.146053,0.592100,0.386760,0.090024,0.093539,0.613240
split_14+2,Finetune,hybrid,0.836883,0.157570,0.727866,0.623693,0.090176,0.150563,0.376307
split_14+2,New,none,0.682628,0.222552,0.504506,0.261324,0.193798,0.026011,0.738676
split_14+2,New,undersampling,0.709749,0.224359,0.488337,0.243902,0.207715,0.022259,0.756098
split_14+2,New,oversampling,0.752498,0.176808,0.506905,0.268293,0.131849,0.042268,0.731707
split_14+2,New,hybrid,0.790452,0.182540,0.609947,0.400697,0.118191,0.071530,0.599303
