fs,ensemble,sampling,n_splits,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
kbest_chi2_r50,Old,under,15,0.6749,0.0788,0.1189,0.0453,0.5260,0.0636,0.3161,0.0726,0.0747,0.0317,0.1116,0.0669,0.6839,0.0726
kbest_chi2_r50,Old_3,ensemble,15,0.6810,0.0716,0.1107,0.0359,0.5022,0.0668,0.2864,0.0723,0.0702,0.0244,0.1025,0.0490,0.7136,0.0723
kbest_chi2_r50,Old_hybrid_New_hybrid,ensemble,15,0.7693,0.0247,0.1406,0.0199,0.6507,0.0513,0.4927,0.0800,0.0824,0.0124,0.1334,0.0266,0.5073,0.0800
kbest_chi2_r50,Old_under_New_under,ensemble,15,0.8008,0.0221,0.1701,0.0175,0.6670,0.0418,0.4992,0.0643,0.1027,0.0111,0.1047,0.0119,0.5008,0.0643
kbest_chi2_r80,All_6,ensemble,15,0.8058,0.0135,0.1582,0.0171,0.6771,0.0292,0.5245,0.0485,0.0934,0.0114,0.1236,0.0201,0.4755,0.0485
kbest_chi2_r80,New,hybrid,15,0.8101,0.0149,0.1776,0.0159,0.6948,0.0244,0.5447,0.0484,0.1066,0.0120,0.1113,0.0220,0.4553,0.0484
kbest_chi2_r80,New,over,15,0.7861,0.0108,0.1562,0.0161,0.6627,0.0260,0.5006,0.0481,0.0931,0.0124,0.1196,0.0252,0.4994,0.0481
kbest_chi2_r80,New,under,15,0.8291,0.0135,0.2048,0.0181,0.6867,0.0259,0.5171,0.0461,0.1285,0.0157,0.0858,0.0170,0.4829,0.0461
kbest_chi2_r80,New_3,ensemble,15,0.8298,0.0139,0.2001,0.0256,0.6933,0.0204,0.5308,0.0392,0.1244,0.0214,0.0927,0.0213,0.4692,0.0392
kbest_chi2_r80,Old,hybrid,15,0.6823,0.0596,0.1000,0.0317,0.5326,0.0548,0.3343,0.0702,0.0597,0.0209,0.1406,0.0577,0.6657,0.0702
kbest_chi2_r80,Old,over,15,0.6410,0.0719,0.0882,0.0308,0.5021,0.0604,0.2962,0.0661,0.0523,0.0198,0.1395,0.0396,0.7038,0.0661
kbest_chi2_r80,Old,under,15,0.6561,0.0973,0.1050,0.0473,0.4855,0.0920,0.2720,0.0976,0.0664,0.0312,0.1072,0.0531,0.7280,0.0976
kbest_chi2_r80,Old_3,ensemble,15,0.6825,0.0787,0.1055,0.0401,0.5198,0.0610,0.3117,0.0677,0.0644,0.0269,0.1237,0.0522,0.6883,0.0677
kbest_chi2_r80,Old_hybrid_New_hybrid,ensemble,15,0.7869,0.0140,0.1446,0.0178,0.6676,0.0308,0.5199,0.0591,0.0845,0.0128,0.1387,0.0310,0.4801,0.0591
kbest_chi2_r80,Old_under_New_under,ensemble,15,0.8072,0.0099,0.1842,0.0215,0.6612,0.0270,0.4820,0.0417,0.1143,0.0164,0.0910,0.0145,0.5180,0.0417
kbest_f_r20,All_6,ensemble,15,0.7450,0.0424,0.1207,0.0123,0.5915,0.0608,0.4093,0.1023,0.0716,0.0087,0.1292,0.0363,0.5907,0.1023
kbest_f_r20,New,hybrid,15,0.7668,0.0278,0.1537,0.0185,0.6349,0.0397,0.4576,0.0711,0.0935,0.0141,0.1113,0.0383,0.5424,0.0711
kbest_f_r20,New,over,15,0.7400,0.0252,0.1374,0.0192,0.6160,0.0428,0.4386,0.0818,0.0832,0.0174,0.1234,0.0444,0.5614,0.0818
kbest_f_r20,New,under,15,0.7595,0.0261,0.1427,0.0182,0.6142,0.0473,0.4339,0.0926,0.0871,0.0156,0.1165,0.0483,0.5661,0.0926
kbest_f_r20,New_3,ensemble,15,0.7731,0.0282,0.1526,0.0196,0.6359,0.0345,0.4581,0.0598,0.0927,0.0163,0.1118,0.0299,0.5419,0.0598
kbest_f_r20,Old,hybrid,15,0.6438,0.0639,0.0868,0.0234,0.4912,0.0651,0.2813,0.0814,0.0517,0.0145,0.1263,0.0260,0.7187,0.0814
kbest_f_r20,Old,over,15,0.6174,0.0647,0.0826,0.0204,0.4943,0.0669,0.2925,0.0833,0.0487,0.0125,0.1432,0.0532,0.7075,0.0833
kbest_f_r20,Old,under,15,0.6317,0.0729,0.0907,0.0301,0.4814,0.0809,0.2708,0.0938,0.0552,0.0187,0.1173,0.0457,0.7292,0.0938
kbest_f_r20,Old_3,ensemble,15,0.6419,0.0684,0.0933,0.0280,0.4895,0.0627,0.2769,0.0767,0.0570,0.0192,0.1169,0.0439,0.7231,0.0767
kbest_f_r20,Old_hybrid_New_hybrid,ensemble,15,0.7416,0.0421,0.1146,0.0139,0.6091,0.0816,0.4555,0.1400,0.0668,0.0094,0.1568,0.0574,0.5445,0.1400
kbest_f_r20,Old_under_New_under,ensemble,15,0.7359,0.0398,0.1153,0.0174,0.5865,0.0683,0.4088,0.1125,0.0682,0.0121,0.1383,0.0452,0.5912,0.1125
kbest_f_r50,All_6,ensemble,15,0.8026,0.0308,0.1508,0.0257,0.6605,0.0593,0.5031,0.0920,0.0891,0.0158,0.1248,0.0224,0.4969,0.0920
kbest_f_r50,New,hybrid,15,0.8243,0.0165,0.1797,0.0186,0.7047,0.0276,0.5626,0.0541,0.1075,0.0139,0.1144,0.0240,0.4374,0.0541
kbest_f_r50,New,over,15,0.7870,0.0196,0.1475,0.0166,0.6652,0.0293,0.5127,0.0562,0.0868,0.0123,0.1328,0.0299,0.4873,0.0562
kbest_f_r50,New,under,15,0.8258,0.0160,0.1859,0.0165,0.6921,0.0337,0.5359,0.0614,0.1131,0.0127,0.1024,0.0209,0.4641,0.0614
kbest_f_r50,New_3,ensemble,15,0.8349,0.0142,0.1812,0.0164,0.7100,0.0335,0.5724,0.0647,0.1083,0.0127,0.1153,0.0247,0.4276,0.0647
kbest_f_r50,Old,hybrid,15,0.6755,0.0837,0.1009,0.0336,0.5397,0.0819,0.3445,0.1013,0.0595,0.0206,0.1364,0.0337,0.6555,0.1013
kbest_f_r50,Old,over,15,0.6247,0.0806,0.0838,0.0290,0.5023,0.0736,0.3017,0.0824,0.0489,0.0176,0.1481,0.0416,0.6983,0.0824
kbest_f_r50,Old,under,15,0.6465,0.1051,0.1001,0.0419,0.5007,0.0777,0.2904,0.0862,0.0612,0.0274,0.1206,0.0499,0.7096,0.0862
kbest_f_r50,Old_3,ensemble,15,0.6690,0.0922,0.1019,0.0399,0.5131,0.0790,0.3041,0.0887,0.0616,0.0255,0.1194,0.0296,0.6959,0.0887
kbest_f_r50,Old_hybrid_New_hybrid,ensemble,15,0.7968,0.0315,0.1409,0.0206,0.6788,0.0412,0.5443,0.0671,0.0811,0.0128,0.1498,0.0233,0.4557,0.0671
kbest_f_r50,Old_under_New_under,ensemble,15,0.8017,0.0267,0.1702,0.0285,0.6673,0.0424,0.5006,0.0643,0.1030,0.0194,0.1069,0.0192,0.4994,0.0643
kbest_f_r80,All_6,ensemble,15,0.8201,0.0244,0.1598,0.0164,0.6890,0.0477,0.5482,0.0862,0.0939,0.0106,0.1277,0.0222,0.4518,0.0862
kbest_f_r80,New,hybrid,15,0.8332,0.0161,0.1818,0.0190,0.7147,0.0244,0.5796,0.0462,0.1082,0.0134,0.1167,0.0229,0.4204,0.0462
kbest_f_r80,New,over,15,0.8019,0.0167,0.1585,0.0149,0.6729,0.0267,0.5180,0.0554,0.0941,0.0115,0.1222,0.0277,0.4820,0.0554
kbest_f_r80,New,under,15,0.8404,0.0159,0.2055,0.0182,0.7020,0.0378,0.5454,0.0694,0.1279,0.0175,0.0916,0.0221,0.4546,0.0694
kbest_f_r80,New_3,ensemble,15,0.8484,0.0141,0.1963,0.0228,0.7194,0.0326,0.5833,0.0723,0.1192,0.0182,0.1075,0.0325,0.4167,0.0723
kbest_f_r80,Old,hybrid,15,0.6963,0.0726,0.1061,0.0387,0.5659,0.0816,0.3875,0.1019,0.0624,0.0250,0.1537,0.0625,0.6125,0.1019
kbest_f_r80,Old,over,15,0.6487,0.0744,0.0865,0.0297,0.5227,0.0812,0.3382,0.1011,0.0502,0.0182,0.1653,0.0731,0.6618,0.1011
kbest_f_r80,Old,under,15,0.6606,0.0961,0.1036,0.0433,0.5027,0.0928,0.2927,0.1025,0.0635,0.0276,0.1107,0.0369,0.7073,0.1025
kbest_f_r80,Old_3,ensemble,15,0.6931,0.0831,0.1065,0.0410,0.5538,0.0775,0.3689,0.0972,0.0632,0.0260,0.1496,0.0746,0.6311,0.0972
kbest_f_r80,Old_hybrid_New_hybrid,ensemble,15,0.8070,0.0271,0.1476,0.0192,0.6889,0.0457,0.5593,0.0817,0.0854,0.0120,0.1460,0.0297,0.4407,0.0817
kbest_f_r80,Old_under_New_under,ensemble,15,0.8163,0.0189,0.1807,0.0208,0.6794,0.0346,0.5152,0.0550,0.1099,0.0144,0.1011,0.0155,0.4848,0.0550
no_fs,All_6,ensemble,15,0.8213,0.0206,0.1602,0.0203,0.6812,0.0443,0.5329,0.0758,0.0947,0.0133,0.1240,0.0235,0.4671,0.0758
no_fs,New,hybrid,15,0.8315,0.0074,0.1841,0.0218,0.7122,0.0235,0.5738,0.0474,0.1103,0.0164,0.1138,0.0240,0.4262,0.0474
no_fs,New,over,15,0.8003,0.0124,0.1641,0.0161,0.6747,0.0241,0.5168,0.0490,0.0980,0.0119,0.1164,0.0251,0.4832,0.0490
no_fs,New,under,15,0.8397,0.0140,0.2048,0.0161,0.6979,0.0397,0.5380,0.0702,0.1275,0.0141,0.0899,0.0199,0.4620,0.0702
no_fs,New_3,ensemble,15,0.8490,0.0088,0.1893,0.0222,0.7285,0.0185,0.6016,0.0404,0.1130,0.0168,0.1162,0.0239,0.3984,0.0404
no_fs,Old,hybrid,15,0.6945,0.0809,0.1027,0.0350,0.5773,0.0708,0.4065,0.0921,0.0593,0.0215,0.1691,0.0614,0.5935,0.0921
no_fs,Old,over,15,0.6536,0.0705,0.0855,0.0261,0.5382,0.0748,0.3559,0.0966,0.0488,0.0155,0.1711,0.0341,0.6441,0.0966
no_fs,Old,under,15,0.6628,0.0964,0.1064,0.0483,0.5045,0.0901,0.2952,0.1008,0.0661,0.0331,0.1126,0.0469,0.7048,0.1008
no_fs,Old_3,ensemble,15,0.6948,0.0873,0.1070,0.0411,0.5452,0.0717,0.3475,0.0825,0.0638,0.0264,0.1349,0.0434,0.6525,0.0825
no_fs,Old_hybrid_New_hybrid,ensemble,15,0.8059,0.0229,0.1514,0.0198,0.6830,0.0436,0.5422,0.0719,0.0882,0.0123,0.1354,0.0182,0.4578,0.0719
no_fs,Old_under_New_under,ensemble,15,0.8165,0.0177,0.1845,0.0268,0.6610,0.0428,0.4832,0.0634,0.1147,0.0198,0.0912,0.0174,0.5168,0.0634
