split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_3+13,Old,none,0.590791,0.071602,0.428090,0.205575,0.043350,0.108545,0.794425,0.653925,"{""d_block"": 384, ""dropout"": 0.0, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_3+13,Old,undersampling,0.652959,0.063797,0.598827,0.648084,0.033550,0.446686,0.351916,0.668735,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_3+13,Old,oversampling,0.513323,0.043791,0.425188,0.233449,0.024162,0.225594,0.766551,0.650889,"{""d_block"": 128, ""dropout"": 0.0, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_3+13,Old,hybrid,0.542796,0.048938,0.395673,0.184669,0.028206,0.152230,0.815331,0.700078,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_3+13,New,none,0.796395,0.145683,0.693493,0.564460,0.083634,0.147978,0.435540,0.756603,"{""d_block"": 384, ""dropout"": 0.2, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_3+13,New,undersampling,0.804803,0.170124,0.625744,0.428571,0.106126,0.086369,0.571429,0.762098,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_3+13,New,oversampling,0.812629,0.157655,0.618054,0.421603,0.096955,0.093956,0.578397,0.800796,"{""d_block"": 384, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_3+13,New,hybrid,0.824664,0.177381,0.682145,0.519164,0.106963,0.103710,0.480836,0.809181,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.0, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_4+12,Old,none,0.620677,0.065812,0.473387,0.268293,0.037506,0.164735,0.731707,0.652082,"{""d_block"": 256, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_4+12,Old,undersampling,0.626119,0.074832,0.542409,0.369338,0.041634,0.203418,0.630662,0.643661,"{""d_block"": 256, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_4+12,Old,oversampling,0.521959,0.058962,0.393037,0.174216,0.035486,0.113297,0.825784,0.665825,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.0, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_4+12,Old,hybrid,0.565974,0.059868,0.421574,0.205575,0.035036,0.135473,0.794425,0.693559,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_4+12,New,none,0.807316,0.149813,0.692092,0.557491,0.086533,0.140809,0.442509,0.764692,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_4+12,New,undersampling,0.810791,0.138614,0.699483,0.585366,0.078615,0.164152,0.414634,0.762904,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_4+12,New,oversampling,0.798922,0.150708,0.641445,0.463415,0.089986,0.112130,0.536585,0.786926,"{""d_block"": 256, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_4+12,New,hybrid,0.831463,0.152462,0.695093,0.560976,0.088219,0.138724,0.439024,0.806045,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_5+11,Old,none,0.634125,0.062487,0.576627,0.522648,0.033230,0.363818,0.477352,0.660117,"{""d_block"": 128, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_5+11,Old,undersampling,0.636814,0.055846,0.508326,0.874564,0.028844,0.704544,0.125436,0.660085,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_5+11,Old,oversampling,0.562590,0.059595,0.393369,0.174216,0.035945,0.111797,0.825784,0.703998,"{""d_block"": 512, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_5+11,Old,hybrid,0.588518,0.065627,0.431010,0.212544,0.038804,0.125969,0.787456,0.721421,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
