split,method,sampling,tune_val_auc,tune_best_params
split_7+9,Old,hybrid,0.769373,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,New,none,0.889667,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,New,undersampling,0.887527,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_7+9,New,oversampling,0.855153,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,New,hybrid,0.853771,"{""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,Finetune,none,0.812454,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_7+9,Finetune,undersampling,0.815927,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_7+9,Finetune,oversampling,0.760831,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_7+9,Finetune,hybrid,0.771210,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_8+8,Old,none,0.812365,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_8+8,Old,undersampling,0.816949,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_8+8,Old,oversampling,0.768505,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_8+8,Old,hybrid,0.778468,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_8+8,New,none,0.894253,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_8+8,New,undersampling,0.895521,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_8+8,New,oversampling,0.849819,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_8+8,New,hybrid,0.857767,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_8+8,Finetune,none,0.824094,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_8+8,Finetune,undersampling,0.819644,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_8+8,Finetune,oversampling,0.767545,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_8+8,Finetune,hybrid,0.776017,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_9+7,Old,none,0.820944,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_9+7,Old,undersampling,0.829009,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_9+7,Old,oversampling,0.772808,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_9+7,Old,hybrid,0.775759,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_9+7,New,none,0.901659,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_9+7,New,undersampling,0.903412,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_9+7,New,oversampling,0.866678,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_9+7,New,hybrid,0.870778,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_9+7,Finetune,none,0.822202,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
