dataset,ensemble,type,subset,subset_indices,F1
O3 + N13,Dynamic_DES_KNN,all6,,,0.1938
O4 + N12,Dynamic_KNORA_E,under,,,0.1915
O4 + N12,Dynamic_KNORA_E,over,,,0.1425
O4 + N12,Dynamic_KNORA_E,hybrid,,,0.1637
O4 + N12,Dynamic_KNORA_E,all6,,,0.1736
O4 + N12,Dynamic_KNORA_U,under,,,0.2179
O4 + N12,Dynamic_KNORA_U,over,,,0.1382
O4 + N12,Dynamic_KNORA_U,hybrid,,,0.1701
O4 + N12,Dynamic_KNORA_U,all6,,,0.1819
O4 + N12,Dynamic_DES_KNN,under,,,0.2135
O4 + N12,Dynamic_DES_KNN,over,,,0.1419
O4 + N12,Dynamic_DES_KNN,hybrid,,,0.1587
O4 + N12,Dynamic_DES_KNN,all6,,,0.1878
O5 + N11,Dynamic_KNORA_E,under,,,0.2168
O5 + N11,Dynamic_KNORA_E,over,,,0.1480
O5 + N11,Dynamic_KNORA_E,hybrid,,,0.1505
O5 + N11,Dynamic_KNORA_E,all6,,,0.1753
O5 + N11,Dynamic_KNORA_U,under,,,0.2306
O5 + N11,Dynamic_KNORA_U,over,,,0.1436
O5 + N11,Dynamic_KNORA_U,hybrid,,,0.1643
O5 + N11,Dynamic_KNORA_U,all6,,,0.2003
O5 + N11,Dynamic_DES_KNN,under,,,0.2357
O5 + N11,Dynamic_DES_KNN,over,,,0.1429
O5 + N11,Dynamic_DES_KNN,hybrid,,,0.1431
O5 + N11,Dynamic_DES_KNN,all6,,,0.1980
O6 + N10,Dynamic_KNORA_E,under,,,0.2256
O6 + N10,Dynamic_KNORA_E,over,,,0.1425
O6 + N10,Dynamic_KNORA_E,hybrid,,,0.1571
O6 + N10,Dynamic_KNORA_E,all6,,,0.1683
O6 + N10,Dynamic_KNORA_U,under,,,0.2356
O6 + N10,Dynamic_KNORA_U,over,,,0.1584
O6 + N10,Dynamic_KNORA_U,hybrid,,,0.1582
O6 + N10,Dynamic_KNORA_U,all6,,,0.1959
O6 + N10,Dynamic_DES_KNN,under,,,0.2176
O6 + N10,Dynamic_DES_KNN,over,,,0.1589
O6 + N10,Dynamic_DES_KNN,hybrid,,,0.1601
O6 + N10,Dynamic_DES_KNN,all6,,,0.1953
O7 + N9,Dynamic_KNORA_E,under,,,0.1918
O7 + N9,Dynamic_KNORA_E,over,,,0.1604
O7 + N9,Dynamic_KNORA_E,hybrid,,,0.1723
O7 + N9,Dynamic_KNORA_E,all6,,,0.1650
O7 + N9,Dynamic_KNORA_U,under,,,0.2032
O7 + N9,Dynamic_KNORA_U,over,,,0.1651
O7 + N9,Dynamic_KNORA_U,hybrid,,,0.1789
O7 + N9,Dynamic_KNORA_U,all6,,,0.2037
O7 + N9,Dynamic_DES_KNN,under,,,0.2104
O7 + N9,Dynamic_DES_KNN,over,,,0.1605
O7 + N9,Dynamic_DES_KNN,hybrid,,,0.1786
O7 + N9,Dynamic_DES_KNN,all6,,,0.2068
O8 + N8,Dynamic_KNORA_E,under,,,0.2064
O8 + N8,Dynamic_KNORA_E,over,,,0.1609
O8 + N8,Dynamic_KNORA_E,hybrid,,,0.1798
O8 + N8,Dynamic_KNORA_E,all6,,,0.1968
O8 + N8,Dynamic_KNORA_U,under,,,0.2148
O8 + N8,Dynamic_KNORA_U,over,,,0.1629
O8 + N8,Dynamic_KNORA_U,hybrid,,,0.1856
O8 + N8,Dynamic_KNORA_U,all6,,,0.1919
O8 + N8,Dynamic_DES_KNN,under,,,0.2197
O8 + N8,Dynamic_DES_KNN,over,,,0.1686
O8 + N8,Dynamic_DES_KNN,hybrid,,,0.1789
O8 + N8,Dynamic_DES_KNN,all6,,,0.1930
O9 + N7,Dynamic_KNORA_E,under,,,0.2167
O9 + N7,Dynamic_KNORA_E,over,,,0.1706
O9 + N7,Dynamic_KNORA_E,hybrid,,,0.1830
O9 + N7,Dynamic_KNORA_E,all6,,,0.1489
O9 + N7,Dynamic_KNORA_U,under,,,0.2400
O9 + N7,Dynamic_KNORA_U,over,,,0.1762
O9 + N7,Dynamic_KNORA_U,hybrid,,,0.1842
O9 + N7,Dynamic_KNORA_U,all6,,,0.2152
O9 + N7,Dynamic_DES_KNN,under,,,0.2380
O9 + N7,Dynamic_DES_KNN,over,,,0.1634
O9 + N7,Dynamic_DES_KNN,hybrid,,,0.1952
O9 + N7,Dynamic_DES_KNN,all6,,,0.2051
O10 + N6,Dynamic_KNORA_E,under,,,0.2285
O10 + N6,Dynamic_KNORA_E,over,,,0.1719
O10 + N6,Dynamic_KNORA_E,hybrid,,,0.1938
O10 + N6,Dynamic_KNORA_E,all6,,,0.1811
O10 + N6,Dynamic_KNORA_U,under,,,0.2316
O10 + N6,Dynamic_KNORA_U,over,,,0.1700
O10 + N6,Dynamic_KNORA_U,hybrid,,,0.1879
O10 + N6,Dynamic_KNORA_U,all6,,,0.1891
O10 + N6,Dynamic_DES_KNN,under,,,0.2308
O10 + N6,Dynamic_DES_KNN,over,,,0.1709
O10 + N6,Dynamic_DES_KNN,hybrid,,,0.1921
O10 + N6,Dynamic_DES_KNN,all6,,,0.2254
O11 + N5,Dynamic_KNORA_E,under,,,0.2135
O11 + N5,Dynamic_KNORA_E,over,,,0.1598
O11 + N5,Dynamic_KNORA_E,hybrid,,,0.1757
O11 + N5,Dynamic_KNORA_E,all6,,,0.1759
O11 + N5,Dynamic_KNORA_U,under,,,0.2161
O11 + N5,Dynamic_KNORA_U,over,,,0.1661
O11 + N5,Dynamic_KNORA_U,hybrid,,,0.1705
O11 + N5,Dynamic_KNORA_U,all6,,,0.2168
O11 + N5,Dynamic_DES_KNN,under,,,0.2140
O11 + N5,Dynamic_DES_KNN,over,,,0.1651
O11 + N5,Dynamic_DES_KNN,hybrid,,,0.1775
O11 + N5,Dynamic_DES_KNN,all6,,,0.2172
O12 + N4,Dynamic_KNORA_E,under,,,0.2231
O12 + N4,Dynamic_KNORA_E,over,,,0.1775
O12 + N4,Dynamic_KNORA_E,hybrid,,,0.1837
O12 + N4,Dynamic_KNORA_E,all6,,,0.1833
O12 + N4,Dynamic_KNORA_U,under,,,0.2193
O12 + N4,Dynamic_KNORA_U,over,,,0.1826
O12 + N4,Dynamic_KNORA_U,hybrid,,,0.2020
O12 + N4,Dynamic_KNORA_U,all6,,,0.2135
O12 + N4,Dynamic_DES_KNN,under,,,0.2174
O12 + N4,Dynamic_DES_KNN,over,,,0.1841
O12 + N4,Dynamic_DES_KNN,hybrid,,,0.1965
O12 + N4,Dynamic_DES_KNN,all6,,,0.2211
O13 + N3,Dynamic_KNORA_E,under,,,0.2332
O13 + N3,Dynamic_KNORA_E,over,,,0.2017
O13 + N3,Dynamic_KNORA_E,hybrid,,,0.1875
O13 + N3,Dynamic_KNORA_E,all6,,,0.1873
O13 + N3,Dynamic_KNORA_U,under,,,0.2365
O13 + N3,Dynamic_KNORA_U,over,,,0.1963
O13 + N3,Dynamic_KNORA_U,hybrid,,,0.1797
O13 + N3,Dynamic_KNORA_U,all6,,,0.2440
O13 + N3,Dynamic_DES_KNN,under,,,0.2296
O13 + N3,Dynamic_DES_KNN,over,,,0.1923
O13 + N3,Dynamic_DES_KNN,hybrid,,,0.1725
O13 + N3,Dynamic_DES_KNN,all6,,,0.2043
O14 + N2,Dynamic_KNORA_E,under,,,0.2308
O14 + N2,Dynamic_KNORA_E,over,,,0.1923
O14 + N2,Dynamic_KNORA_E,hybrid,,,0.1821
O14 + N2,Dynamic_KNORA_E,all6,,,0.2210
O14 + N2,Dynamic_KNORA_U,under,,,0.2359
O14 + N2,Dynamic_KNORA_U,over,,,0.1876
O14 + N2,Dynamic_KNORA_U,hybrid,,,0.1952
O14 + N2,Dynamic_KNORA_U,all6,,,0.2161
O14 + N2,Dynamic_DES_KNN,under,,,0.2355
O14 + N2,Dynamic_DES_KNN,over,,,0.1975
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.1830
O14 + N2,Dynamic_DES_KNN,all6,,,0.2024
O15 + N1,Dynamic_KNORA_E,under,,,0.2129
O15 + N1,Dynamic_KNORA_E,over,,,0.1739
O15 + N1,Dynamic_KNORA_E,hybrid,,,0.1914
O15 + N1,Dynamic_KNORA_E,all6,,,0.1930
O15 + N1,Dynamic_KNORA_U,under,,,0.2332
O15 + N1,Dynamic_KNORA_U,over,,,0.1777
O15 + N1,Dynamic_KNORA_U,hybrid,,,0.1863
O15 + N1,Dynamic_KNORA_U,all6,,,0.1965
O15 + N1,Dynamic_DES_KNN,under,,,0.2558
O15 + N1,Dynamic_DES_KNN,over,,,0.1772
O15 + N1,Dynamic_DES_KNN,hybrid,,,0.1888
O15 + N1,Dynamic_DES_KNN,all6,,,0.2214
avg,Dynamic_KNORA_E,under,,,0.2141
avg,Dynamic_KNORA_E,over,,,0.1642
avg,Dynamic_KNORA_E,hybrid,,,0.1753
avg,Dynamic_KNORA_E,all6,,,0.1841
avg,Dynamic_KNORA_U,under,,,0.2218
avg,Dynamic_KNORA_U,over,,,0.1639
avg,Dynamic_KNORA_U,hybrid,,,0.1794
avg,Dynamic_KNORA_U,all6,,,0.2030
avg,Dynamic_DES_KNN,under,,,0.2234
avg,Dynamic_DES_KNN,over,,,0.1654
avg,Dynamic_DES_KNN,hybrid,,,0.1763
avg,Dynamic_DES_KNN,all6,,,0.2058
