dataset,ensemble,type,subset,subset_indices,Recall
O6 + N10,Dynamic_KNORA_U,all6,,,0.4983
O6 + N10,Dynamic_DES_KNN,under,,,0.5087
O6 + N10,Dynamic_DES_KNN,over,,,0.4739
O6 + N10,Dynamic_DES_KNN,hybrid,,,0.5819
O6 + N10,Dynamic_DES_KNN,all6,,,0.5122
O7 + N9,Dynamic_KNORA_E,under,,,0.4390
O7 + N9,Dynamic_KNORA_E,over,,,0.4390
O7 + N9,Dynamic_KNORA_E,hybrid,,,0.4181
O7 + N9,Dynamic_KNORA_E,all6,,,0.5087
O7 + N9,Dynamic_KNORA_U,under,,,0.5122
O7 + N9,Dynamic_KNORA_U,over,,,0.4704
O7 + N9,Dynamic_KNORA_U,hybrid,,,0.4390
O7 + N9,Dynamic_KNORA_U,all6,,,0.5192
O7 + N9,Dynamic_DES_KNN,under,,,0.5052
O7 + N9,Dynamic_DES_KNN,over,,,0.4983
O7 + N9,Dynamic_DES_KNN,hybrid,,,0.4425
O7 + N9,Dynamic_DES_KNN,all6,,,0.4878
O8 + N8,Dynamic_KNORA_E,under,,,0.4251
O8 + N8,Dynamic_KNORA_E,over,,,0.4460
O8 + N8,Dynamic_KNORA_E,hybrid,,,0.4878
O8 + N8,Dynamic_KNORA_E,all6,,,0.4077
O8 + N8,Dynamic_KNORA_U,under,,,0.4564
O8 + N8,Dynamic_KNORA_U,over,,,0.4808
O8 + N8,Dynamic_KNORA_U,hybrid,,,0.5122
O8 + N8,Dynamic_KNORA_U,all6,,,0.5366
O8 + N8,Dynamic_DES_KNN,under,,,0.4634
O8 + N8,Dynamic_DES_KNN,over,,,0.4704
O8 + N8,Dynamic_DES_KNN,hybrid,,,0.5017
O8 + N8,Dynamic_DES_KNN,all6,,,0.5296
O9 + N7,Dynamic_KNORA_E,under,,,0.4564
O9 + N7,Dynamic_KNORA_E,over,,,0.4042
O9 + N7,Dynamic_KNORA_E,hybrid,,,0.5296
O9 + N7,Dynamic_KNORA_E,all6,,,0.5261
O9 + N7,Dynamic_KNORA_U,under,,,0.5122
O9 + N7,Dynamic_KNORA_U,over,,,0.4355
O9 + N7,Dynamic_KNORA_U,hybrid,,,0.5540
O9 + N7,Dynamic_KNORA_U,all6,,,0.5087
O9 + N7,Dynamic_DES_KNN,under,,,0.5017
O9 + N7,Dynamic_DES_KNN,over,,,0.4634
O9 + N7,Dynamic_DES_KNN,hybrid,,,0.4913
O9 + N7,Dynamic_DES_KNN,all6,,,0.4948
O10 + N6,Dynamic_KNORA_E,under,,,0.4808
O10 + N6,Dynamic_KNORA_E,over,,,0.4634
O10 + N6,Dynamic_KNORA_E,hybrid,,,0.5645
O10 + N6,Dynamic_KNORA_E,all6,,,0.5540
O10 + N6,Dynamic_KNORA_U,under,,,0.4774
O10 + N6,Dynamic_KNORA_U,over,,,0.5261
O10 + N6,Dynamic_KNORA_U,hybrid,,,0.5679
O10 + N6,Dynamic_KNORA_U,all6,,,0.5854
O10 + N6,Dynamic_DES_KNN,under,,,0.4878
O10 + N6,Dynamic_DES_KNN,over,,,0.5401
O10 + N6,Dynamic_DES_KNN,hybrid,,,0.5540
O10 + N6,Dynamic_DES_KNN,all6,,,0.4739
O11 + N5,Dynamic_KNORA_E,under,,,0.4739
O11 + N5,Dynamic_KNORA_E,over,,,0.4530
O11 + N5,Dynamic_KNORA_E,hybrid,,,0.5854
O11 + N5,Dynamic_KNORA_E,all6,,,0.5401
O11 + N5,Dynamic_KNORA_U,under,,,0.4948
O11 + N5,Dynamic_KNORA_U,over,,,0.4808
O11 + N5,Dynamic_KNORA_U,hybrid,,,0.5958
O11 + N5,Dynamic_KNORA_U,all6,,,0.5122
O11 + N5,Dynamic_DES_KNN,under,,,0.5017
O11 + N5,Dynamic_DES_KNN,over,,,0.4634
O11 + N5,Dynamic_DES_KNN,hybrid,,,0.5575
O11 + N5,Dynamic_DES_KNN,all6,,,0.4983
O12 + N4,Dynamic_KNORA_E,under,,,0.5192
O12 + N4,Dynamic_KNORA_E,over,,,0.4251
O12 + N4,Dynamic_KNORA_E,hybrid,,,0.6063
O12 + N4,Dynamic_KNORA_E,all6,,,0.5575
O12 + N4,Dynamic_KNORA_U,under,,,0.5261
O12 + N4,Dynamic_KNORA_U,over,,,0.4564
O12 + N4,Dynamic_KNORA_U,hybrid,,,0.5401
O12 + N4,Dynamic_KNORA_U,all6,,,0.4843
O12 + N4,Dynamic_DES_KNN,under,,,0.5192
O12 + N4,Dynamic_DES_KNN,over,,,0.4530
O12 + N4,Dynamic_DES_KNN,hybrid,,,0.5610
O12 + N4,Dynamic_DES_KNN,all6,,,0.4704
O13 + N3,Dynamic_KNORA_E,under,,,0.4669
O13 + N3,Dynamic_KNORA_E,over,,,0.4460
O13 + N3,Dynamic_KNORA_E,hybrid,,,0.5366
O13 + N3,Dynamic_KNORA_E,all6,,,0.5854
O13 + N3,Dynamic_KNORA_U,under,,,0.4948
O13 + N3,Dynamic_KNORA_U,over,,,0.4564
O13 + N3,Dynamic_KNORA_U,hybrid,,,0.5331
O13 + N3,Dynamic_KNORA_U,all6,,,0.4983
O13 + N3,Dynamic_DES_KNN,under,,,0.5157
O13 + N3,Dynamic_DES_KNN,over,,,0.4634
O13 + N3,Dynamic_DES_KNN,hybrid,,,0.5575
O13 + N3,Dynamic_DES_KNN,all6,,,0.5679
O14 + N2,Dynamic_KNORA_E,under,,,0.5017
O14 + N2,Dynamic_KNORA_E,over,,,0.4669
O14 + N2,Dynamic_KNORA_E,hybrid,,,0.5854
O14 + N2,Dynamic_KNORA_E,all6,,,0.4983
O14 + N2,Dynamic_KNORA_U,under,,,0.5331
O14 + N2,Dynamic_KNORA_U,over,,,0.4843
O14 + N2,Dynamic_KNORA_U,hybrid,,,0.5679
O14 + N2,Dynamic_KNORA_U,all6,,,0.5505
O14 + N2,Dynamic_DES_KNN,under,,,0.5157
O14 + N2,Dynamic_DES_KNN,over,,,0.4111
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.6272
O14 + N2,Dynamic_DES_KNN,all6,,,0.6098
O15 + N1,Dynamic_KNORA_E,under,,,0.5366
O15 + N1,Dynamic_KNORA_E,over,,,0.4843
O15 + N1,Dynamic_KNORA_E,hybrid,,,0.5819
O15 + N1,Dynamic_KNORA_E,all6,,,0.5296
O15 + N1,Dynamic_KNORA_U,under,,,0.5192
O15 + N1,Dynamic_KNORA_U,over,,,0.5679
O15 + N1,Dynamic_KNORA_U,hybrid,,,0.5923
O15 + N1,Dynamic_KNORA_U,all6,,,0.5923
O15 + N1,Dynamic_DES_KNN,under,,,0.5017
O15 + N1,Dynamic_DES_KNN,over,,,0.5401
O15 + N1,Dynamic_DES_KNN,hybrid,,,0.5645
O15 + N1,Dynamic_DES_KNN,all6,,,0.5052
avg,Dynamic_KNORA_E,under,,,0.4581
avg,Dynamic_KNORA_E,over,,,0.4441
avg,Dynamic_KNORA_E,hybrid,,,0.5366
avg,Dynamic_KNORA_E,all6,,,0.4901
avg,Dynamic_KNORA_U,under,,,0.4799
avg,Dynamic_KNORA_U,over,,,0.4767
avg,Dynamic_KNORA_U,hybrid,,,0.5322
avg,Dynamic_KNORA_U,all6,,,0.5048
avg,Dynamic_DES_KNN,under,,,0.4811
avg,Dynamic_DES_KNN,over,,,0.4674
avg,Dynamic_DES_KNN,hybrid,,,0.5375
avg,Dynamic_DES_KNN,all6,,,0.4918
