test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,pool_size
2017,2018,2016,2017,B_model_FIFO3_equal,3191,29,3014,21,0.00696748506967,0.14,0.00622420245782,0.881306026304,0.251943922627,0.372093023256,0.524727178188,0.275862068966,0.571428571429,0.636982267879,0.368355070711,0.00189753320683,0.724137931034,0.51724137931,0.0980392156863,0.0436432637571,153,0.890760981974,0.134009198327,0.2,0.435340765498,0.190476190476,0.210526315789,0.592732248262,0.194669427698,0.00501169395256,0.809523809524,0.52380952381,0.0802919708029,0.0420982292015,137,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2018,2019,2017,2018,B_model_FIFO3_equal,3014,21,2723,36,0.0132207124495,0.09,0.00473826192319,0.878080600767,0.152343780884,0.210526315789,0.435486926578,0.190476190476,0.235294117647,0.593066361192,0.205573810821,0.00434346809222,0.809523809524,0.571428571429,0.0769230769231,0.0481122619445,156,0.859229624116,0.186490612885,0.229508196721,0.439479096801,0.194444444444,0.28,0.593872761858,0.221067174671,0.00669892072944,0.805555555556,0.472222222222,0.111842105263,0.0502419054708,152,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2009,2010,2008,2009,B_model_FIFO5_equal,3857,58,3743,23,0.00614480363345,0.04,0.0247323159128,0.867156511242,0.128601470151,0.212560386473,0.605499840555,0.379310344828,0.147651006711,0.672940247434,0.195136439577,0.0334298499605,0.620689655172,0.413793103448,0.112676056338,0.0497499341932,213,0.825035063114,0.033813806675,0.0941176470588,0.413765025136,0.173913043478,0.0645161290323,0.579160822814,0.0859236987913,0.0155913978495,0.826086956522,0.217391304348,0.0490196078431,0.0260752688172,102,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2010,2011,2009,2010,B_model_FIFO5_equal,3743,23,3625,35,0.00965517241379,0.08,0.0272689647973,0.833017765311,0.0566133881226,0.175438596491,0.464431466624,0.217391304348,0.147058823529,0.604797802712,0.169349393494,0.00779569892473,0.782608695652,0.304347826087,0.0630630630631,0.0279569892473,111,0.839721448468,0.129311997462,0.11320754717,0.292157745114,0.0857142857143,0.166666666667,0.540768006367,0.107353364944,0.0041782729805,0.914285714286,0.2,0.101449275362,0.0172701949861,69,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2011,2012,2010,2011,B_model_FIFO5_equal,3625,35,3513,25,0.00711642470823,0.28,0.0112431515008,0.836012733784,0.12382626773,0.157894736842,0.292770021885,0.0857142857143,1,0.542857142857,0.156608986477,0,0.914285714286,0.228571428571,0.0544217687075,0.0387186629526,147,0.891766055046,0.100921814908,0.0689655172414,0.199913972324,0.04,0.25,0.519569954128,0.0671341601345,0.000860091743119,0.96,0.48,0.0648648648649,0.0495986238532,185,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2012,2013,2011,2012,B_model_FIFO5_equal,3513,25,3485,26,0.00746054519369,0.05,0.0100880432874,0.901055045872,0.159434946188,0.210526315789,0.562187731876,0.32,0.156862745098,0.653836009174,0.202913348308,0.0123279816514,0.68,0.52,0.0714285714286,0.0484518348624,182,0.906998465541,0.222310444723,0.177777777778,0.550191672843,0.307692307692,0.125,0.645751328752,0.168959983501,0.0161896501879,0.692307692308,0.5,0.0526315789474,0.0676496097138,247,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2013,2014,2012,2013,B_model_FIFO5_equal,3485,26,3484,28,0.00803673938002,0.24,0.0192360412329,0.918751528899,0.290424614085,0.352941176471,0.480245561756,0.230769230769,0.75,0.615095514488,0.350661449599,0.000578201792426,0.769230769231,0.538461538462,0.109375,0.0329575021683,128,0.860739087302,0.0745409926914,0,0,0,0,0.499855324074,-0.000554565260448,0.000289351851852,1,0.25,0.0795454545455,0.0234375,88,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2014,2015,2013,2014,B_model_FIFO5_equal,3484,28,3504,33,0.00941780821918,0.05,0.00693318527192,0.86878926918,0.0967109378351,0.175438596491,0.421107289424,0.178571428571,0.172413793103,0.585813492063,0.168639954509,0.00694444444444,0.821428571429,0.392857142857,0.0683229813665,0.0434027777778,161,0.866460630506,0.0653023220025,0.0810810810811,0.29985635142,0.0909090909091,0.0731707317073,0.539980618632,0.071390155501,0.0109478536445,0.909090909091,0.393939393939,0.065,0.0538749639873,200,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2015,2016,2014,2015,B_model_FIFO5_equal,3504,33,3354,33,0.00983899821109,0.03,0.00590911181644,0.883676872441,0.0715026472385,0.136363636364,0.423380986997,0.181818181818,0.109090909091,0.583850606323,0.12607557052,0.0141169691731,0.818181818182,0.363636363636,0.0674157303371,0.0478248343417,178,0.891900030111,0.202605933134,0.228571428571,0.597550500769,0.363636363636,0.166666666667,0.672784758151,0.218019791721,0.0180668473351,0.636363636364,0.666666666667,0.105263157895,0.0563083408612,209,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2016,2017,2015,2016,B_model_FIFO5_equal,3354,33,3191,29,0.00908806016923,0.07,0.00727666029707,0.89677260409,0.202917426985,0.325,0.624424766994,0.393939393939,0.276595744681,0.691850756891,0.317105173857,0.0102378801566,0.606060606061,0.636363636364,0.119318181818,0.0466726889491,176,0.855373072477,0.269399966496,0.3125,0.584894217267,0.344827586207,0.285714285714,0.668460598923,0.30559759439,0.0079063883618,0.655172413793,0.51724137931,0.0949367088608,0.0452245414295,158,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2017,2018,2016,2017,B_model_FIFO5_equal,3191,29,3014,21,0.00696748506967,0.11,0.00750313466415,0.864173700626,0.2664744997,0.340425531915,0.524394546029,0.275862068966,0.444444444444,0.63634975681,0.335802004928,0.00316255534472,0.724137931034,0.51724137931,0.101351351351,0.0420619860848,148,0.90108666253,0.136091124324,0.170212765957,0.43482881482,0.190476190476,0.153846153846,0.591562853006,0.163766486917,0.00735048446375,0.809523809524,0.52380952381,0.0808823529412,0.0417641162713,136,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
2018,2019,2017,2018,B_model_FIFO5_equal,3014,21,2723,36,0.0132207124495,0.14,0.00781137216836,0.885208343277,0.149046236683,0.210526315789,0.435486926578,0.190476190476,0.235294117647,0.593066361192,0.205573810821,0.00434346809222,0.809523809524,0.52380952381,0.0833333333333,0.0404276645506,132,0.862372327668,0.208406125598,0.25,0.439890555646,0.194444444444,0.35,0.594803167514,0.242849954981,0.00483810941571,0.805555555556,0.472222222222,0.142857142857,0.0379605508001,119,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
