test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2015,2016,2014,2015,B_model_FIFO3_equal,3504,33,3354,33,0.00983899821109,0.02,0.00653169304132,0.889980182115,0.0901662172579,0.194174757282,0.545703303586,0.30303030303,0.142857142857,0.642872109164,0.183725708127,0.0172860847018,0.69696969697,0.424242424242,0.106870229008,0.0337078651685,131,0.884107561614,0.180493025326,0.220183486239,0.597183905335,0.363636363636,0.157894736842,0.672182529906,0.209335219236,0.0192713038241,0.636363636364,0.575757575758,0.127516778523,0.0391448358928,149,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2016,2017,2015,2016,Recent3y,3354,33,3191,29,0.00908806016923,0.16,0.00824345462024,0.879764218518,0.177346324287,0.241379310345,0.45931634377,0.212121212121,0.28,0.60335057896,0.234889725324,0.00542005420054,0.787878787879,0.454545454545,0.110294117647,0.0364348087925,136,0.873017950228,0.106526301685,0.146341463415,0.32117570122,0.103448275862,0.25,0.550300988026,0.141775848158,0.00284629981025,0.896551724138,0.379310344828,0.101851851852,0.0306767868438,108,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2016,2017,2015,2016,B_data_equal,3354,33,3191,29,0.00908806016923,0.11,0.00942018441856,0.868066391102,0.215144762002,0.296296296296,0.491401339747,0.242424242424,0.380952380952,0.619254879417,0.29086963779,0.00391448358928,0.757575757576,0.515151515152,0.106918238994,0.0427582053598,159,0.88862352505,0.256016504993,0.32,0.524144933379,0.275862068966,0.380952380952,0.635875373509,0.314768966476,0.00411132194813,0.724137931034,0.551724137931,0.111888111888,0.0401644528779,143,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2016,2017,2015,2016,B_model_FIFO3_equal,3354,33,3191,29,0.00908806016923,0.07,0.0055768317543,0.893131860612,0.184334099969,0.281690140845,0.54815636029,0.30303030303,0.263157894737,0.647299553804,0.274044460289,0.00843119542307,0.69696969697,0.606060606061,0.109289617486,0.0490816019271,183,0.883923313486,0.217004862143,0.327272727273,0.555586453226,0.310344827586,0.346153846154,0.65248424175,0.321442323718,0.00537634408602,0.689655172414,0.586206896552,0.0960451977401,0.0506008855155,177,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2017,2018,2016,2017,Recent3y,3191,29,3014,21,0.00696748506967,0.03,0.00366025860421,0.873737704203,0.14077600132,0.246153846154,0.52289508278,0.275862068966,0.222222222222,0.633503457,0.238487875438,0.00885515496521,0.724137931034,0.413793103448,0.0727272727273,0.0483870967742,165,0.871875646349,0.118551564984,0.0869565217391,0.307418653988,0.0952380952381,0.08,0.543776748922,0.0799889530067,0.00768459739392,0.904761904762,0.380952380952,0.0536912751678,0.047109923154,149,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2017,2018,2016,2017,B_data_equal,3191,29,3014,21,0.00696748506967,0.05,0.00761724449694,0.874337499182,0.135292680805,0.215384615385,0.489045520993,0.241379310345,0.194444444444,0.616103949923,0.207405747905,0.00917141049968,0.758620689655,0.379310344828,0.0887096774194,0.0357368753953,124,0.88614704151,0.104180000177,0.117647058824,0.37625579272,0.142857142857,0.1,0.566918046871,0.110354598764,0.0090210491146,0.857142857143,0.380952380952,0.0672268907563,0.0370865352489,119,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2017,2018,2016,2017,B_model_FIFO3_equal,3191,29,3014,21,0.00696748506967,0.09,0.0065713240765,0.900979301621,0.199601625856,0.367346938776,0.556116171878,0.310344827586,0.45,0.653433008354,0.36261831584,0.00347881087919,0.689655172414,0.586206896552,0.118881118881,0.0398481973435,143,0.887531223649,0.126701842093,0.181818181818,0.435048296022,0.190476190476,0.173913043478,0.592064022401,0.175814660084,0.00634814567324,0.809523809524,0.428571428571,0.0769230769231,0.0360841964584,117,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2018,2019,2017,2018,Recent3y,3014,21,2723,36,0.0132207124495,0.03,0.00351682328619,0.862711405979,0.107136839232,0.181818181818,0.485580341306,0.238095238095,0.147058823529,0.61420298156,0.174708838885,0.00968927497494,0.761904761905,0.380952380952,0.0551724137931,0.0457734714333,145,0.853337054956,0.256016958243,0.356164383562,0.59823549279,0.361111111111,0.351351351351,0.676089608403,0.34741860643,0.00893189430592,0.638888888889,0.5,0.125874125874,0.0465202828433,143,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2018,2019,2017,2018,B_data_equal,3014,21,2723,36,0.0132207124495,0.06,0.00980753079057,0.826197635753,0.111035348947,0.2,0.435340765498,0.190476190476,0.210526315789,0.592732248262,0.194669427698,0.00501169395256,0.809523809524,0.333333333333,0.0853658536585,0.0250584697628,82,0.80382913617,0.203475451121,0.253521126761,0.497575064982,0.25,0.257142857143,0.620161890584,0.243662643531,0.00967621883141,0.75,0.388888888889,0.133333333333,0.0338667659099,105,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2018,2019,2017,2018,B_model_FIFO3_equal,3014,21,2723,36,0.0132207124495,0.03,0.00453928252682,0.884667398533,0.122313068116,0.181818181818,0.531028542607,0.285714285714,0.133333333333,0.636341940719,0.173969974725,0.0130304042766,0.714285714286,0.47619047619,0.0671140939597,0.0464416972937,149,0.855053136501,0.228267768685,0.298850574713,0.596660890154,0.361111111111,0.254901960784,0.673484472563,0.287811550022,0.0141421659844,0.638888888889,0.5,0.123287671233,0.0476367696316,146,42,study3b_overlap_event_target_v1_financial18_exploratory,none
